,sentence
0,전날 급반등했던 나스닥지수가 페이스북 모기업 메타의 주가 폭락에 하락세로 전환됐고 다우 지수는 GDP 지표 개선에 강세를 보였다.
1,앞선 두 개 분기 동안 마이너스(-)를 기록했던 성장률이 플러스로 전환됐다.
2,과열된 노동시장이 연준의 공격적인 금리 인상으로 진정되고 있다는 신호로 풀이된다.
3,기술 기업들의 실적은 예상치를 밑돌면서 주가에 하방 압력으로 작용하고 있다.
4,투자자들은 다음 주 예정된 연방준비제도(연준·Fed)의 통화정책 회의를 대기하고 있다.
5,뉴욕증시 전문가들은 GDP 수치는 긍정적으로 평가했으나 결국 높아진 금리가 기술 기업 실적에도 타격을 주며 경제 전반으로 영향을 미칠 것이라고 우려했다.
6,코너스톤 웰스의 클리프 호지 최고투자책임자(CIO)는 마켓워치에 오늘 GDP 발표는 위험자산에 골디락스 수치였다.
7,이는 미국 경제의 주요 동인이 회복력을 보여주고 있음을 시사한다라고 말했다.
8,그는 GDP 수치에서 물가 지표가 이전 분기에 비해 크게 둔화한 점은 최악의 인플레이션이 이미 지나갔을 수 있음을 보여주는 또 다른 신호라고 평가했다.
9,서미트 파이낸셜의 케빈 배리 CIO는 마켓워치에 여름 내내 주가가 하락한 것은 높은 금리가 주가 밸류에이션을 낮췄기 때문이라고 생각하지만 실적 추정치가 실제 하향되지 않았다고 지적했다.
10,그는 금리가 올라갔기 때문에 가격이 내려갔으나 수익에는 영향이 없을 것이라는 믿음이 있었다라며 그러나 진정한 약세장은 곰이 와서 모든 부문을 해치는 것이라고 지적했다.
11,하지만 소비 증가세가 둔화했다는 점에서 경기 침체 우려를 불식할 정도는 아니라는 분석도 동시에 제기됐습니다.
12,중간선거를 앞두고 경제관리 실패 공세에 시달리던 바이든 대통령 표정도 오랜만에 펴졌습니다.
13,조 바이든 / 미국 대통령 : 오늘 아주 대단한 GDP 결과가 발표됐네요.
14,알렉스 펠 / 미주호 증권 이코노미스트 : 전반적인 경제의 큰 그림을 보면 내수와 수출이 나뉩니다.
15,뉴욕타임스는 무역수지 개선이 국내총생산 전체 숫자를 왜곡했다며 소비 둔화와 주택시장 약화에 주목했습니다.
16,게다가 강달러 현상으로 무역수지 개선 흐름이 이어지기 힘들 것으로 보여 경제 전망을 낙관할 수 없다는 분석입니다.
17,미국의 국내총생산(GDP) 성장률이 예상을 웃돌았다는 소식에 국제유가가 상승 마감했다.
18,기술적 경기침체에서 탈출수출 소비자지출 등이 원동력 이미지출처연합뉴스 올해 상반기 내내 역성장했던 미국 경제성장률이 올해 처음으로 상승전환했다.
19,상무부는 수출과 소비자 지출 비주거 고정투자 증가 등이 성장률 플러스 전환의 원동력이 됐다고 설명했다.
20,AP뉴시스 파이낸셜뉴스 미국 경제가 올해 처음으로 성장세를 보이면서 기술적인 ‘침체’를 탈출했다.
21,그러나 전문가들은 고금리 기조가 계속되면 내년부터 실질적인 경기 침체가 시작될 수 있다고 걱정했다.
22,WSJ는 우크라이나 사태로 유럽에 수출하는 석유와 천연가스가 크게 늘었다고 지적했다.
23,또한 상무부는연방정부를 비롯한 공공 기관의 지출 증가가 GDP 증가를 견인했다고 설명했다.
24,뱅크오브아메리카의 마이클 게이펀 미국시장 수석이코노미스트는 전체 숫자는 무시해야 한다.
25,성장 속도는 느려지고 있다라며 몇 번의 추가 둔화만으로도 경제는 침체에 빠져들 것이라고 말했다.
26,크리스틴 라가르드 총재는 기자회견에서 “통화정책 정상화 과정은 끝나지 않았다며 추가 인상을 강하게 시사했다.
27,러시아의 우크라이나 침공으로 인한 에너지 위기 등 각종 악재에도 민간 소비가 성장세를 이끌었다는 분석이다.
28,연방통계청은 “글로벌 공급망 차질과 물가 상승 우크라이나 전쟁 등 어려운 세계 경제 상황에도 불구하고 독일 경제가 제자리를 지켰다고 말했다.
29,Despite the slowing pace of growth the Bank of Korea (BOK) predicted that the country will be able to achieve its growth outlook for this year as long as the rate does not fall sharply below zero in the remaining quarter.
30,The slower pace of growth comes amid rising worries that aggressive rate hikes in major countries including the United States could tip the global economy into a recession.
31,Chinas strict anti-pandemic restrictions and lockdowns in cities have also been cited as a serious downside risk on South Koreas export-driven economy.
32,Sharp rate increases are feared to weaken investment and spending.
33,The BOK voiced concerns that high inflation and high interest rates could slow down growth in the fourth quarter with exports facing mounting uncertainty.
34,Private spending recovery will likely continue but interest rates and elevated inflation are expected to moderate the pace of the recovery.
35,He however predicted that the country will be able to achieve the central banks growth outlook for this year as long as the fourth-quarter rate does not fall sharply below zero.
36,GDP가 세 분기 만에 플러스 성장으로 전환하면서 기술적 경기침체에서 벗어났다는 평가가 나온다.
37,이 때문에 노동시장이 탄탄한 미국 경제가 회복 국면에 접어든 것 아니냐는 기대도 나온다.
38,상품 수입과 신규 단독 주택 건설 역시 감소해 침체 국면에 접어들고 있음을 보여줬다.
39,미국인 다수가 여전히 경제를 비관적으로 보고 있으며 소비심리도 사상 최저 수준이라는 지적이다.
40,이날 부산 남구 신선대 부두에서 컨테이너 선적 및 하역작업이 진행되고 있다.
41,com사진 영상 제보받습니다 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다.
42,종합경제대책에는 우크라이나 전쟁을 기점으로 급등한 에너지 비용 지원 임신·출산 여성 지원 확대 중소기업 임금 인상 유도 등 다양한 정책이 담겼다.
43,현재 실시하고 있는 휘발유 가격 상승 억제를 위한 보조금 지급도 지속한다.
44,고용을 확대하기 위해 첨단 반도체 배터리 로봇 등의 분야에 투자하는 방안도 종합경제대책에 포함됐다.
45,엔화 약세 속에서 외국인 관광객을 유치하기 위해 히메지성 천수각 특별 공개 문화재 보고인 쇼소인(正倉院·정창원) 이벤트 등도 추진하기로 했다.
46,기시다 후미오 일본 총리는 이날 기자회견에서 내년 전반기에는 미국 중국 유럽의 경기가 나빠질 수 있다며 예측하기 어려운 경제 불황 리스크에 대비해 톱다운 방식으로 만전의 대응을 하고자 한다고 말했다.
47,한편 그는 내년 봄 노사 임금 협상을 앞두고 물가 상승률에 뒤지지 않는 임금 인상을 요청하면서 임금을 올린 기업에 다양한 혜택을 주겠다고 강조했다.
48,이어 국민의 목소리를 받아들여 결과를 내고 그 결과로 국민의 신뢰를 회복하겠다고 덧붙였다.
49,하지만 경기 침체 사이클이 본격화되면서 고물가 저성장에 포위당하는 스태그플레이션 우려가 커지고 있다.
50,저성장에 고물가 악재까지 겹친 스태그플레이션 초입 단계라는 전망도 나온다.
51,성장 둔화에 대응하기 위해 통화당국의 긴축 기조에 속도 조절이 필요하다는 의견도 있다.
52,메타 로고와 구글 로고 로이터 연합뉴스 빅테크의 실망스러운 실적발표가 잇따르면서 이들 기업의 주가가 급락하고 있다.
53,또 전날에는 메타(페이스북)이 폭락했고 그에 앞서 알파(구글) 마이크로소프트(MS) 등의 실적 발표에 따른 실적 하락이 이어졌다.
54,사회적 거리두기 해제 직후 나타났던 ‘펜트업 효과(억눌렸던 소비 폭발 현상)’가 완화된 데다 인플레이션 한국은행의 기준금리 인상 원·달러 환율 상승 등으로 가계의 실질 구매력이 이전보다 악화된 점도 영향을 미친 것으로 풀이된다.
55,도소매 및 숙박음식업 금융 및 보험업 문화 및 기타 서비스업 등이 늘어난 영향이다.
56,오늘은 ECB 상황과 함께 미 국채금리와 기준금리 경로 GDP 증시 전망을 알아보겠습니다.
57,이례적인 부분을 빼면 경제는 본질적으로 제자리 걸음한 것이라고 평가했는데요.
58,피터 부크바 브리클리 파이낸셜 그룹 최고투자책임자(CIO)는 “실질적으로 미국 경제는 증가 없이 평평한 수준을 이어가고 있다며 “인플레이션이 명목 GDP를 크게 만들었다.
59,GDP 디플레이터는 경제 전체의 상품과 서비스를 모두 대상으로 해 총체적인 물가 변동을 보여주는데요.
60,월가에서는 이를 인플레이션 진전 즉 정책금리 추가 인상 가능성 하락으로 봤는데요.
61,전문가들의 예상대로였고 ECB가 추가 금리인상 계획을 밝혔지만 통화정책 변화 가능성도 꽤 내비쳤습니다.
62,추가 인상이 있을 것이라고 하면서도 금리인상에 대한 포워드 가이던스(사전적 안내)를 하지 않았죠.
63,그러면서 나오는 데이터에 따라 매 회의 때마다 결정할 것이라고 덧붙였는데요.
64,독일뿐만 아니라 이탈리아와 영국 등 유럽 전체의 국채금리도 일제히 하향 곡선을 보였는데요.
65,레이몬드 제임스의 유럽 전략가 제레미 배츠톤 카는 “미국과 영국이 대차대조표의 크기를 줄이려고 하는 반면 ECB는 다른 경로를 따르려고 하고 있다며 “ECB에 있어 더 큰 우선순위는 주변국과 핵심 회원국 간의 국채금리 차이(스프레드)가 될 것이라고 해석했죠.
66,봐야 할 것은 ECB의 속도조절 전망과 그에 따른 국채금리 하락은 인플레이션이 잡혔기 때문이 아니라 경기침체 우려가 더 크기 때문이라는 점인데요.
67,단스케 은행의 환율 애널리스트 라르스 메르클린은 “라가르드 총재는 유로 지역의 스태그플레이션(경기둔화 속 물가상승) 위험이 높아지고 있다는 점을 명확히 알고 있다.
68,그럼에도 전반적으로 속도조절에 대한 얘기가 여름 랠리를 포함해 이전보다 더 광범위하게 나오는 게 사실인데요.
69,경기둔화 조짐이 늘어나면서 리스크 양상이 갈수록 인플레 우위에서 경기 우위로 변하고 있기 때문이라는 분석이 나옵니다.
70,증시가 과도하게 오르느냐가 문젠데 경기침체 우려가 있는 만큼 예전만큼 오르지는 못할 것이라고 내다봤습니다.
