,sentence
0,워싱턴뉴시스김난영 특파원 조 바이든 미국 대통령이 여전히 고물가 현상이 이어지는 상황에서 자신 경제 계획이 성과를 거두고 있다고 자평했다.
1,이어 우리는 할 일이 더 있다라며 내 계획은 내년부터 처방약 가격과 에너지 가격을 내릴 것이라고 했다.
2,바이든 대통령은 반면 의회 공화당의 의제는 매우 다르다라며 (공화당 의제는) 인플레이션을 올리고 가장 부유한 미국인과 거대 기업의 세금을 감면함으로써 적자를 추가할 것이라고 했다.
3,연방통계청은 “어려운 세계 경제 상황 신종 코로나바이러스 감염증 지속 공급망 차질 치솟는 물가 우크라이나 전쟁에도 독일 경제는 제자리를 지켰다고 평가했습니다.
4,이에 대해 전문가들은 독일 경제가 역성장하지 않은 것은 놀랍지만 올겨울 경기침체를 피해갈 수는 없을 것이라고 전망했습니다.
5,외르크 크래머 코메르츠방크 수석이코노미스트도 “강한 소비는 태풍의 전 고요라며 “치솟는 물가는 구매력에 타격을 줄 것인 만큼 겨울에 역성장은 불가피할 것이라고 말했습니다.
6,그러면서 경제 위기와 안전 문제에 대해 여야정이 초당적으로 협력하자고 제안했다.
7,이 대표는 이날 최근 화재가 발생한 대구 매천시장의 관리사무소에서 연 현장 최고위원회의에서 이렇게 말했다.
8,이 대표는 “한국전력의 공사채가 유찰됐다는데 IMF(국제통화기금) 외환위기 이후 처음 있는 일이라고 한다며 “반도체 수출도 크게 둔화됐다.
9,이 대표는 “이럴 때일수록 장밋빛 전망하고 ‘펀더멘털은 문제 없다’던 IMF 사태 당시 당국자 발언을 반복할 게 아니라 위기를 인정하고 심각성을 인지해서 실효적인 대책을 반드시 신속하게 만들어야 한다고 말했다.
10,이 대표는 김진태 강원지사의 레고랜드 자산유동화어음(ABCP) 지급보증 철회 사태를 염두에 둔 듯 “정부가 리스크를 완화·해소해야 한다.
11,리스크를 해소해야 할 정부가 경제 리스크의 중심이 돼선 안 된다며 “정치보복·야당 탄압에 (정부) 역량을 소모할 게 아니라 초당적 정치로 위기를 넘어가겠다는 결단이 필요하다.
12,민생경제 위기 돌파를 위해 윤석열 대통령이 직접 (야당과) 대화에 나설 것을 다시 한번 촉구드린다고 말했다.
13,이 대표는 최근 매천시장에서 발생한 화재를 언급하며 “전통시장의 화재 피해는 일상적으로 예측되는 바가 있기도 하다.
14,현실로 막지 못했다는 건 정부 당국의 충분한 관심과 정책 예산 투자가 부족했기 때문이라고 말했다.
15,그러면서 “이럴 때일수록 여야정이 안전 사회를 위해 함께 힘을 합칠 필요가 있다며 “여야정 국민안전대책회의 같은 진영 넘어선 초당적 협력기구가 필요하겠다고 말했다.
16,사진제공전북도현대중공업 군산조선소가 재가동 선포식을 갖고 본격적인 재가동 준비 작업에 돌입했다.
17,선포식의 하이라이트인 강재(가공한 강철) 절단식 때 작은 불꽃들이 피는데 이 불꽃처럼 군산조선소가 전북 산업의 중심으로 활짝 피어오르길 희망하는 것이다.
18,강재 절단식은 선박 건조를 시작한다는 의미를 가진 조선업계의 오랜 의식이다.
19,갑작스러운 사업 종료 통보에 푸르밀 직원들 하루아침에 일자리를 잃게 된 거 아닌가요?단 세 문장으로 구성된 사업 종료 및 정리 해고 공고문입니다.
20,협력업체 직원들 우유를 납품하는 직속 농가들 제품을 이송하는 화물차 기사들 이 전체 사람들의 가정까지 다 파탄 내는 겁니다.
21,이상옥 / 전북 임실 낙농육우협회장 “애지중지 키운 우리 소를 우유 납품업체가 없다라고 하면 전 그것을 다 도태를 시켜야 하고 우유는 파기를 시켜야 하고.
22,푸르밀은 고 신격호 롯데 창업주의 넷째 동생 신준호 회장이 대표를 맡았던 회사죠.
23,또 폐업 대신 사업 종료를 택한 것이 수년간 감면받은 수백억 원어치 법인세를 토해내지 않으려는 꼼수라는 의혹도 제기됩니다.
24,그런데 그 법인을 그대로 가지고 새로운 사업을 시작해도 그게 연계가 돼요.
25,그런데 지금도 본사에 출근해서 업무 보고를 받고 있다고 노조는 전했습니다.
26,노조는 공개매각을 통해 직원들의 고용이라도 유지시켜달라고 하는데 회사는 묵묵부답입니다.
27,사실 이게 내수에 의존하는 우리나라 우유업계의 현실이라는 분석도 있는데요.
28,하지만 이번 푸르밀 사태에서 구조조정의 가장 중요한 원칙은 오너 회사 직원들의 힘을 합친 자구 노력이라는 점 잊어서는 안 되겠습니다.
29,우크라이나 사태 속 미국과 중국 간 신냉전 구도가 아시아 지역 경제에 미치는 영향이 가장 클 것이라는 분석이 나왔다.
30,보고서는 러시아 제재가 무역을 둘러싼 정책 불확실성을 가중시키면서 기업들이 고용과 투자를 중단하고 신규 기업의 시장 진입을 막고 있다며 이같이 평가했다.
31,그러면서 무역 분쟁은 아시아 신흥 시장과 부채가 많은 기업에 더 큰 타격을 줄 것이라고 봤다.
32,중국 경제가 제로 코로나 정책과 부동산 경기침체의 여파로 빠르게 둔화 중인 것도 아시아 지역 경제 침체의 큰 걸림돌로 봤다.
33,중국 부동산 개발업체들의 연이은 채무불이행(디폴트)으로 유동성이 말라가고 위기가 은행 시스템으로 확산할 가능성도 있다는 것이다.
34,게다가 중국의 부동산 위기가 조만간 해결될 가능성도 작다고 IMF는 전망했다.
35,이렇게 SNS나 판촉물에서 항균 방취 기능을 더했다고 광고를 해왔는데요 다 거짓말이었습니다.
36,먼저 항균성은 황색포도상구균과 폐렴균에 대해 일정 수준 이상의 성능이 구현돼야 합니다.
37,항균성 기준이 충족되면 악취를 방지하는 방취성은 자동으로 구현된다고 보시면 됩니다.
38,먼저 황색포도상구균에 대해서는 원단의 시험성적서를 제출을 하긴 했지만 완제품 광고 내용과는 관계가 없는 있으나 마나 한 거고요.
39,폐렴균에 대한 건 아예 시험조차 하지 않았으면서 항균성이 있다고 광고했습니다.
40,소비자는 이런 광고를 접하면 세균 증식이 억제되는 옷을 입음으로써 건강에 도움이 되고 땀 피지 같은 분비물로 인한 악취가 덜 날 거라고 기대하게 됩니다.
41,&lt;앵커&gt;제출했던 근거를 따져봐도 그렇고 유니클로 왜 도대체 저렇게까지 했는지 참 납득이 안 갈 정도로 이상하네요.
