,sentence
0,아그라왈 CEO 등 핵심 임원진 일괄 해고…장악력 강화 의도인듯 일론 머스크로이터 연합뉴스 자료사진.
1,트위터 의사결정 구조의 최상층에 있는 기존 경영진을 축출 자신의 측근으로 물갈이해 단기간에 장악력을 끌어올리겠다는 의도라는 해석이 나온다.
2,아그라왈은 머스크의 인수 선언 이후 스스로 레임덕 CEO라고 자조하며 불만을 표시해온 인물로 인수합의 파기 소송과 관련해 법정에 출석해 머스크 측 주장을 반박하는 진술을 하기도 했다.
3,WP는 이런 조치를 두고 머스크가 세계에서 가장 영향력있는 소셜미디어 업체 중 하나인 트위터에 (새 주인으로 왔음을 알리는) 도장을 확실하게 찍으려고 한 것으로 보인다고 평가했다.
4,트위터의 샌프란시스코 본사를 방문한 일론 머스크머스크 트위터 계정 동영상 캡처.
5,재판매 및 DB 금지 머스크는 트위터 인수를 추진하는 과정에서 회사의 경영 방향과 콘텐츠 관리 방침을 비판해왔다.
6,다만 머스크는 전날 광고주들을 향한 트위터 메시지에서 플랫폼 정책과 관련 결론 없이 아무 말이나 할 수 있어 난투극을 벌이는 지옥 풍경이 될 수는 없다고 언급했다.
7,WP는 세계 최고 갑부인 이 억만장자가 적대적 인수를 감행하고자 부풀린 가격으로 매입하겠다고 공언했다가 이를 어기고 치열한 법적 공방을 벌여온지 수개월 만에 롤러코스터와 같은 대하소설이 마무리되고 거래가 종료됐다고 꼬집었다.
8,외신들은 머스크가 이번 재판에서 승소 가능성이 작다고 판단한 뒤 인수 재진행으로 방향을 틀었을 것으로 분석했다.
9,머스크 측은 가짜계정 문제가 계약 해지 사유인 중대한 부정적 영향(Material Adverse Effect) 조항 위반에 해당한다는 입장이었으나 이를 재판 과정에서 입증하지 못할 것이라는 우려가 커진 것이다.
10,/ 사진 연합뉴스푸르밀 노동조합은 이번 희망 퇴직 공지에 반발하고 있습니다.
11,/연합뉴스이재용 삼성전자 회장이 회장 취임 첫 행보로 삼성의 협력회사를 찾았다.
12,이 회장은 디케이의 생산 현장을 둘러보면서 협력회사가 잘 되어야 우리 회사도 잘 된다며 협력회사와의 상생협력을 강조했다.
13,협력회사를 방문한 이 회장의 취임 첫 행보는 향후 사업보국을 잇는 미래동행 철학을 본격적으로 전개하겠다는 이 회장의 의지가 담긴 것으로 평가된다.
14,이미 그룹 총수로 경영 전반을 진두지휘하긴 했지만 공식적으로 삼성 회장 타이틀을 달면서 본격적으로 이재용의 삼성 시대가 문을 열었다.
15,삼성전자 이사회는 글로벌 대외 여건이 악화하고 있는 가운데 ▲ 책임 경영 강화 ▲ 경영 안정성 제고 ▲ 신속하고 과감한 의사결정이 절실하다고 판단해 이같이 의결했다고 설명했다.
16,재판매 및 DB 금지 복권 후 첫 공식 행보로 삼성전자 기흥캠퍼스 반도체 R&amp;D(연구개발)단지 기공식을 비롯해 삼성엔지니어링 삼성SDS 삼성생명 삼성바이오로직스 등 그룹 주요 계열사의 국내외 사업장을 찾는 등 현장 행보를 늘리고 있다.
17,회장 타이틀을 달고 경영 전면에 나서는 만큼 바이오 인공지능(AI) 차세대통신 등 미래 신사업 분야에서 적극적인 인수·합병(M&amp;A)에 나설 것이라는 관측도 나온다.
18,현재 태스크포스(TF) 수준인 삼성의 컨트롤타워가 정식 조직으로 복원될 지에도 관심이 쏠린다.
19,서울뉴시스 이종희 기자 일론 머스크 테슬라 최고경영자(CEO)가 트위터 인수를 마무리하고 첫 행보로 경영진을 해고했다.
20,이는 임원진을 해고하고 트위터가 자신의 영향력 아래에 들어와 있다는 것으로 해석된다.
21,머스크는 인수 과정에서 트위터의 경영 방향과 콘텐츠 정책을 꾸준히 비판해왔다.
22,이에 머스크가 인수를 마무리하고 첫 행보로 경영진 해고를 단행한 것은 정해진 수순이었다는 평가가 나온다.
23,공석이 된 트위터 CEO 자리에 새로운 인물이 오르게 될 지 여부는 결정된 것이 없다고 외신은 전했다.
24,일각에서는 당분간 공석으로 두고 머스크가 CEO 역할을 할 것으로 보고 있다.
25,트위터는 델라웨어주 법원에서 인수 계약을 강제해달라고 고소하면서 머스크와 법적 공방을 시작했다.
26,WP는 세계에서 가장 부유한 억만장자가 적대적 인수를 하기 위해 부풀린 가격에 사기로 해지만 거래를 어기고 치열한 법적 분쟁을 진행하는 등 몇 개월 간의 롤러코스터와 같은 대하소설의 종지부를 찍었다고 말했다.
27,일론 머스크 테슬라 최고경영자(CEO)가 싱크대를 들고 샌프란시스코에 위치한 트위터 본사에 들어오고 있다.
28,머스크는 인수를 마무리하기 전 트위터 CEO 역할을 맡고 있는 것처럼 광고주에게 서한을 보내 안심시키는 메시지를 내놓기도 했다.
29,앞서 머스크는 도널드 트럼프 전 미국 대통령을 트위터로 복귀시키겠다는 입장을 밝히기도 했다.
30,트위터는 트럼프 전 대통령의 지지자들이 지난해 미국 국회의사당을 난입한 이후 그의 계정을 중지시켰다.
31,그러자 시장에서는 머스크가 트위터를 인수하게 되면 자유로운 콘텐츠 정책으로 혐오 발언과 가짜 뉴스가 넘쳐나게 될 것이라는 우려가 나왔다.
