,sentence
0,금리 상승에도 고정금리 비중이 줄어든 것은 보금자리론 등 고정금리 적용 정책모기지 상품의 신규 취급액이 줄었기 때문이라는 게 한은의 설명이다.
1,박창현 한은 경제통계국 금융통계팀장은 기준금리 인상뿐 아니라 유동성커버리지비율(LCR) 규제 충족을 위한 수신 경쟁도 예금 금리 인상에 영향을 미쳤다고 분석했다.
2,자산유동화증권 매입에는 채권시장안정펀드(채안펀드)도 참여한 것으로 전해졌다.
3,KB증권 관계자는 “차환 발행에 실패하면 시공사업단이 PF 조달자금 전액을 상환해야 하지만 둔촌주공은 우량 사업장인 만큼 최근 시장이 급격히 경색됐음에도 차환 발행에 성공할 수 있었다고 말했다.
4,도쿄 로이터 연합뉴스일본 중앙은행인 일본은행이 대규모 금융완화 정책을 유지하기로 했다.
5,미국과의 금리 차이로 환율 상승을 우려해 한국 등 세계 각국이 금리를 올리는 반면 일본만 나홀로 초저금리 정책을 고집하는 상황이다.
6,미국이 물가 상승을 저지하기 위해 금리를 대폭 올리면서 미국과 일본 간 금리 차이로 엔달러 환율이 급상승하고 있다.
7,그럼에도 일본은행은 경기회복을 위해 초저금리 정책을 유지하겠다는 방침이다.
8,구로다 하루히코 일본은행 총재는 이날 필요한 시점까지 금융 완화를 지속할 것이라며 필요하다면 주저 없이 추가적인 금융 완화 조치를 강구할 것이라고 밝혔다.
9,구로다 총재는 이날 엔저에 대해 최근의 엔저는 급속하고 일방적인 움직임이라며 우리 경제에도 마이너스이고 바람직하지 않다고 평가했다.
10,미국 연방준비제도(Fed·연준)가 올 들어 다섯 차례나 기준금리를 올렸고 추가 인상도 예상되고 있지만 일본은행이 금융 완화를 지속하면서 미·일 간 금리 차가 확대돼왔고 이것이 엔저의 원인으로 작용하고 있다.
11,국제 원자재값 상승에 기록적 엔화 가치 약세가 더해져 물가 상승과 무역수지 악화 등의 부작용이 나타나면서 수출 증대 등 긍정 효과보다 부정 효과가 더 크다는 나쁜 엔저에 대한 주장도 커졌다.
12,추경 상당 부분을 국채 발행으로 충당할 전망이어서 일본의 재정건전성에 영향을 미칠 것으로 예상된다.
13,쉽게 말해 건설사들이 어려울 것 같으니 빚을 내서라도 집을 사라는 겁니다.
14,하지만 이렇게 금리가 치솟고 있는 상황에서 빚 내서 집 사라는 정책이 해법이 될 수 있을까요?무책임하다는 비판도 나오고 있습니다.
15,김은경/공인중개사지금 일반적인 사람들이 제일 불안해하는 것은 대출 규제도 물론 문제지만 금리 자체가 지금 계속해서 오르는 부분이 있기 때문에.
16,그런데 갑자기 빚 내서 집 사라고 하니 일관성도 없고 부적절하다는 비판이 나옵니다.
17,최은영/한국도시연구소 소장주택 가격은 높다고 하면서 (집값을) 부양하겠다는 거잖아요.
18,주택 경기가 가라앉고 있기 때문에 무리해서 빚을 내서 내서 집을 샀을 경우에 개인들에게 평생 멍에가 될 수 있는 상황이어서.
19,원희룡/국토교통부 장관 (오늘)가격을 흐름을 바꾼다든지 그런 정도의 효과는 있기 어렵다부동산 정책이 전환됐다거나 이런 것은 좀 지나친 평가라고 생각합니다.
20,박석길/JP모건 본부장여전히 인플레이션 안정이 한은의 중요한 목표이기 때문에 금리 인상 기조는 유지될 것으로 보는데요.
21,하지만 또 최근 자금 시장 어려움 등 금리 인상 비용에 대해서도 점차 고려해야 되는 것도 사실입니다.
22,다음주로 예정된 미국의 기준금리 인상을 앞두고 미국에서도 속도 조절이 필요하다는 목소리가 커지고 있습니다.
23,그러나 A씨가 해당 지점에 관련 문의를 하자 담당자는 저금리 대환보증에 대해 내용을 전혀 파악하지 못하고 있었다.
24,이후 A씨는 관련 서류에 대한 안내를 받고 모두 제출했지만 대환보증의 문턱은 높았다.
25,계약을 맺은 중장비업체와 주기장(건설기계를 세워 두는 곳) 계약을 맺은 곳이 달라 저금리 대환보증을 이용하기 어렵다는 통보를 받은 것이다.
26,/연합뉴스 자영업자·소상공인의 고금리 부담 경감을 위한 ‘저금리 대환보증’이 현장의 낮은 이해도 탓에 제대로 시행되지 못하고 있다.
27,윤석열 정부 들어 물가·금리 상승 등 복합 위기가 심화되자 자영업자·소상공인을 지원하고자 마련한 민생안정 대책 중 하나다.
28,/금융위원회 저금리 대환보증의 실적이 지지부진한 데는 제도에 대한 홍보 부족으로 은행의 창구에서조차 제대로 내용을 파악하지 못하기 때문이라는 지적이 나온다.
