,sentence
0,해외 여행을 가면 여행경비가 가장 적게 들 나라가 일본이다 일본 물가 참 싸졌다 이런 말이다.
1,한 나라 화폐의 가치를 제대로(Effective) 보여주는 환율지표가 있다.
2,실질 실효환율(REER : Real Effective Exchange Rate)이다.
3,더 놀랄 일이 생길 수 있다 올해 연말 지나고 나면 정말 깜짝 놀랄 수 있다.
4,여전하고 잘하고 대체 불가능한 경쟁력이 있긴 하지만 소재·부품·장비일 뿐이다.
5,엔화 가격이 안정되고(낮아지고) 산업엔 경쟁력이 넘치고 수출은 너무나 잘 되던 시절.
6,그뿐 아니라 장기금리 고정을 위한 무제한 금융완화 개입(YCC·중앙은행이 금리 목표를 달성하기 위해 채권을 사거나 파는 정책)도 계속한다.
7,물론 원화도 같이 약해지고 있으니 상황이 꼭 이 석학 말대로 가고 있는 것은 아니다.
8,이대로 엔저를 용인할 수 없다는 메시지였지만 그 뒤로 오히려 엔화 하락은 가속화 했다.
9,구로다는 고 아베 전 총리를 도와 엔저를 만들고 중앙은행이 국채는 물론 일본 주식까지 사게 한 정책의 주인공이다(일본 주식시장 가장 큰 손은 일본 중앙은행이다).
10,위기 때마다 엔을 산다던 와타나베 부인( 낮은 금리로 엔화를 빌려 외화로 환전한 뒤 해외의 고금리 자산에 투자하는 일본의 주부 투자자)도 이번엔 아직 등장하지 않았다.
11,일본 투자자들도 이제는 엔화가 더 내릴 것으로 보고 손해 볼까 봐 관망한다.
12,위기를 막으려면 중요 행위자(은행 등 금융기관이다) 안전에 대한 신뢰가 유지되어야 한다.
13,(버냉키가 올해 노벨상 받은 게 대략 이 점을 입증했기 때문이다)아시아 지역으로 보자면 일본이나 중국이 그런 중요 국가다.
14,쇠퇴하기만 하는 것 같은 일본의 국운이 너무 급하게 너무 빨리 쇠퇴하지는 않길 바랄 뿐이다.
15,미래를 내다봤던 홍 의원의 저서에서 그는 두 가지 예상이 틀렸다고 자평했다.
16,변화된 사회상을 반영한 ‘수축사회’의 후속 작품은 내년쯤 선보일 전망이다.
17,그는 미·중 패권 경쟁에 대해서도 전방위로 벌어질 것이라는 점은 내다봤지만 예상했던 것보다 훨씬 더 빠르고 강하게 나타나고 있고 그 결과로 인플레이션을 촉발하고 있다고 설명했다.
18,‘잽 펀치’를 주고받을 것으로 예상했던 미·중 패권 경쟁이 ‘훅 펀치’를 날리는 격렬한 형태로 진행되고 그 결과로 공급망 등이 타격을 받으면서 물가가 상승하는 현상을 예측 못 했다는 것이다.
19,그는 인류가 살아오면서 항상 생산력이 증대되고 인구가 늘어나고 물가도 성장하면서 성장이 당연하다고 생각했지만 원래 중세는 디플레이션 사회였다면서 산업혁명 이후에 달라졌던 것이라고 설명했다.
20,이어 이제는 오늘보다 내일의 파이의 크기가 같거나 줄어들고 내 파이를 키우기 위해서는 남의 것을 뺏어야 한다는 쪽으로 옮겨가게 될 것이라고 내다봤다.
21,그는 수축사회라는 이름은 제로섬 사회라는 말과 유사한 데 더 나아가 파이 자체가 줄어드는 시대를 살아가게 될 것이라고 전망했다.
22,우리나라도 이제 내수 관련 산업은 마이너스 성장으로 총수요가 줄 것이라며 음식료품 섬유 의복산업이 기조적으로 줄고 있고 경제위기를 겪는 산업들 대부분은 공급과잉이라고 설명했다.
23,그는 최근 파동에 가까운 가격 변화를 겪었던 쌀 역시 수축사회가 가져온 변화의 하나로 설명했다.
24,홍 의원은 변화된 새로운 내용 등을 업데이트해서 내년쯤 내놓을 것이라고 설명했다.
25,미국이 이를 잡기 위해 금리를 올림으로써 환율 변동 등 각국이 여러모로 어려움을 겪고 있다.
