,sentence
0,대부분 한국인 남편이 가계약금을 지불했는데 자금 출처를 대라고 하자 그 어떤 설명도 내놓지 못했다.
1,그간 내국인은 각종 대출 규제로 내 집 마련이 힘든데 외국인은 본국 은행에서 대출받아 규제를 피해가면서 역차별 논란이 일었다.
2,외국인은 세대 현황을 파악하기 어려워 다주택자 중과세를 피해 부동산 쇼핑을 할 수 있다는 지적도 이어졌다.
3,한국인이지만 외국인으로 돼 있는 이른바 검은머리 외국인의 편법증여 의심 사례도 있었다.
4,국토부는 이번에 적발한 외국인을 법무부·관세청·경찰청·국세청 등 관계기관에 통보해 수사와 과태료 처분 등이 이뤄지도록 할 예정이다.
5,또 외국인의 투기성 토지 거래와 함께 오피스텔 등 비주택 거래에서도 이상 동향이 감지되면 기획조사를 벌이기로 했다.
6,원희룡 국토부 장관은 공정한 거래 질서 확립과 내국인 실수요자 보호 차원에서 사각지대에 놓인 외국인 부동산 현황을 파악하고 투기 근절을 위한 제도 개선을 지속해서 추진하겠다고 밝혔다.
7,이를 위해 국토부는 부동산거래신고법을 개정해 부동산 거래 신고 때 외국인등록 사실 증명서를 제출하고 위탁관리인을 지정하도록 할 계획이다.
8,부동산 매수 이후 해외로 출국하는 외국인에 대한 조사 공백을 막기 위해서다.
9,다주택자 취득세 중과를 위해 법무부·복지부가 보유한 외국인 세대구성 정보는 과세 당국과 공유한다.
10,외국인 투기가 의심되는 지역을 시·도지사가 거래허가구역으로 지정해 거래를 제한할 수 있는 법 개정도 추진한다.
11,그동안 외국인의 주택 거래에서 해외자금 불법반입을 통한 주택대량매입 초고가주택 매수 등 특이동향이 다수 확인됐다.
12,외국인은 국내 주택 취득 시 본국 은행을 통해서도 대출을 받을 수 있어 내국인에 비해 상대적으로 자금 확보 여력이 컸고 다주택자 중과세 적용을 위해 필요한 외국인 세대현황 파악 등이 어려워 내국인 역차별 논란이 있었다.
13,이에 정부는 국민의 주거 안정을 보호하기 위해 외국인의 투기성 주택거래 규제를 국정과제로 채택했다.
14,또 외국인 투기 근절을 위한 기획조사뿐만 아니라 외국인에 대한 거래규제 주택 보유통계 생산 등 제도 정비를 적극 추진 중이다.
15,주요 유형으로는 해외자금 불법반입 및 무자격비자 임대업 명의신탁 편법증여 대출용도 외 유용 주택담보대출비율(LTV) 규정 위반 계약일 거짓신고 소명자료 미제출 등이 있었다.
16,아울러 추후 외국인의 토지 대량매입과 지분 쪼개기 이상 고·저가 매수 등 투기성 토지거래뿐만 아니라 오피스텔 등 비주택 거래에서도 이상동향이 포착될 경우 기획조사를 확대 추진할 계획이다.
17,이번 실거래 기획조사 결과를 바탕으로 관계부처와 협의해 외국인 부동산 투기를 차단하는 방안을 마련했다.
18,외국인이 부동산 취득자금을 국내로 불법 반입하는 것에 대한 단속을 강화하기 위해 국토부와 관세청은 상시 공조체계를 구축한다.
19,외국인의 주택 자금조달계획 분석을 통해 선별한 이상거래 자료를 관세청과 반기별로 공유한다.
20,외국인도 내국인과 마찬가지로 부동산 취득·보유·양도 시 납세 의무가 존재하나 다주택자의 경우 정확한 외국인 세대원 파악을 통한 과세제도의 실효성 제고 필요성이 제기됐다.
21,이에 따라 정부는 외국인 부동산 유관기관 협의회를 통해 법무부?복지부(건강보험공단) 등이 보유한 외국인 세대구성 관련 자료를 과세 당국과 공유하는 방안을 추진한다.
22,외국인 주택 보유통계를 신설해 투기성 거래에 대해 적극적으로 대응해 나갈 계획이다.
23,이를 위해 건축물 등기자료와 실거래 자료 등 연계를 통한 통계생산 용역을 실시해 시범생산 예정이다.
24,원희룡 국토부 장관은 국민의 주거안정을 침해하는 일부 외국인의 투기행위에 대하여는 철저히 단속하겠다며 그동안 사각지대에 놓인 외국인 부동산 현황 파악과 투기 근절을 위한 제도개선도 지속 추진하겠다고 말했다.
25,전날 비상경제민생회의서 규제지역 추가 해제 등 대책 발표시장 거래량 반등시키거나 가격 흐름 바꾸기 어려워 원희룡 국토교통부 장관.
26,그는 가격의 하락 또는 거래 감소는 금리와 유동성 통화량이라는 시중 자금사정과 거시여건 때문에 불가피하다고 보고 있다며 위기대응 차원에서 이것은 풀어야 된다고 해서 그 부분에 대해 제한적으로 푼 것이라고 말했다.
27,그러면서 이 부분이 시장 전체의 거래량을 갑자기 반등시킨다든지 가격의 흐름의 바꾼다든지 그런 정도의 효과는 있기 어렵다고 본다고 강조했다.
28,이어 내부적으로 검토하던 것을 대통령께서 모처럼 소집하신 회의이기 때문에 조금 앞당겨서 꺼내놓았다며 기조가 달라졌다거나 부동산 정책이 전환됐다거나 하는 것은 지나친 평가라 생각한다고 덧붙였다.
29,앞서 정부는 올해 들어 발생한 부동산 거래 침체 및 집값 하락과 관련해 문재인정부 시절 급등한 가격의 하향안정화는 불가피하다는 입장을 유지해 왔다.
30,기사내용 요약국토부 외국인 부동산 투기 차단 방안 마련관세청과 상시공조체계 구축…이상거래 공유건보공단과 외국인 세대구성 자료 교차 검증 【세종뉴시스】세종시 어진동 정부세종청사 국토교통부.
31,com서울뉴시스 이예슬 기자 앞으로 국내 부동산을 산 외국인은 거래신고 시 외국인등록 사실증명서를 제출하고 출국할 때 위탁관리인을 지정해야 한다.
32,국토교통부는 외국인의 부동산 불법행위 단속을 위한 실거래 기획조사를 벌이고 관계부처와 협의해 외국인 부동산 투기를 차단하기 위한 방안을 마련했다.
33,외국인도 주택담보대출 시 내국인과 동일하게 주택담보대출비율(LTV)·총부채상환비율(DTI) 등 국내 대출 규제가 적용되지만 본국 은행을 통한 대출 또는 현금을 반입할 경우 상대적으로 자금 확보가 용이해 내외국인 역차별 논란이 제기됐다.
34,이에 따라 외국인이 부동산 취득자금을 국내로 불법 반입하는 것에 대한 상시적 단속을 강화할 필요가 있어 국토부와 관세청은 상시 공조체계를 구축하고 외국인의 주택 자금조달계획 분석을 통해 선별한 이상거래 자료를 관세청과 반기별로 공유할 계획이다.
35,세금 관련해서는 다주택자의 경우 정확한 외국인 세대원 파악을 통한 과세제도의 실효성 제고가 필요하다는 의견이 제기됐다.
36,이에 정부는 외국인 부동산 유관기관 협의회를 통해 법무부·복지부(건강보험공단) 등이 보유한 외국인 세대구성 관련 자료를 과세 당국과 공유하는 방안을 추진할 계획이다.
37,이번 조사 과정에서 일부 외국인들의 거주지가 불분명해 등기반송 등 소명자료 징구가 지연됐고 거주기간 등 정보가 부족해 편법증여 등 위법의심행위 조사에 어려움이 있었다.
38,이에 부동산거래신고법령 개정을 통해 외국인등록(국내거소신고) 대상자에 대해서는 부동산 거래신고 시 외국인등록 사실증명서를 제출하도록 할 방침이다.
39,부동산 매수 후 해외로 출국하는 외국인에 대한 조사 공백을 예방하기 위해서는 거래신고 시 국내 위탁관리인을 지정 및 신고하도록 할 계획이다.
40,또 편법증여 의심행위에 대한 실거래 조사를 위해서는 조사대상자의 국내 거주여부를 확인할 필요가 있어 출입국기록을 요청할 수 있는 근거(부동산거래신고법령)도 함께 마련한다.
41,외국인 특수관계인간(부모-자식) 편법증여 등 위법행위에 대한 조사 강화를 위해 건강보험공단이 보유한 외국인 세대구성 관련 자료를 공유 및 교차 검증하는 방안도 모색한다.
42,외국인의 부동산 투기가 우려되는 경우 시·도지사 등이 대상자와 대상용도를 정해 거래허가구역을 지정할 수 있도록 부동산거래신고법 개정도 추진하고 있다.
43,임대사업자 등록이 가능한 비자 종류를 명확하게 하는 내용의 민간임대주택에 관한 특별법 개정도 함께 추진 중이다.
44,한편 외국인 주택 보유통계를 신설 투기성 거래에 적극 대응해 나갈 계획이다.
45,원희룡 국토부 장관은 내국인 실수요자 보호 차원에서 그동안 사각지대에 놓인 외국인 부동산 현황 파악과 투기 근절을 위한 제도개선도 지속 추진하겠다고 말했다．
46,국토부는 이번 실거래 기획조사 결과를 바탕으로 관계부처와 협의해 외국인 부동산 투기를 차단하기 위한 방안을 마련했다.
47,하지만 개인사업대출로 매수자금 일부를 조달하면서 기업활동과 무관한 대출자금 유용을 의심 받고 있다.
48,국토부에 따르면 전반적인 거래 침체기에도 외국인 주택 매수 비율은 지속해서 증가하고 있다.
49,그동안 외국인의 주택 거래에서 해외자금 불법반입을 통한 주택대량매입 초고가주택 매수 등 특이동향이 다수 확인됐다.
50,외국인은 국내 주택 취득 시 본국 은행을 통해서도 대출을 받을 수 있어 내국인에 비해 상대적으로 자금 확보 여력이 컸고 다주택자 중과세 적용을 위해 필요한 외국인 세대현황 파악 등이 어려워 내국인 역차별 논란이 있었다.
51,이에 정부는 국민의 주거 안정을 보호하기 위해 외국인의 투기성 주택거래 규제를 국정과제로 채택했으며 외국인 투기 근절을 위한 기획조사뿐만 아니라 외국인에 대한 거래규제 주택 보유통계 생산 등 제도 정비를 적극적으로 추진 중이다.
52,주요 유형은 ▲해외자금 불법반입 ▲무자격비자 임대업 ▲명의신탁 ▲편법증여 ▲대출용도 외 유용 ▲주택담보대출비율(LTV) 규정 위반 ▲계약일 거짓신고 ▲소명자료 미제출 등이 있었다.
53,추후에는 외국인의 ▲토지 대량매입 ▲지분 쪼개기 ▲이상 고·저가 매수 등 투기성 토지거래뿐만 아니라 오피스텔 등 비주택 거래에서도 이상동향이 포착될 경우 기획조사를 확대 추진할 계획이다.
54,/인포그래픽국토부 국토부는 이번 실거래 기획조사 결과를 바탕으로 관계부처와 협의해 외국인 부동산 투기를 차단하기 위한 방안을 마련했다.
55,대출 관련으로는 외국인도 주택담보대출 시 내국인과 동일하게 LTV(주담담보대출비율)와 DTI(총부채상환비율) 등 국내 대출 규제를 적용할 방침이다.
56,세금과 관련해서는 외국인도 내국인과 마찬가지로 부동산 취득·보유·양도 시 납세 의무가 존재하나 다주택자의 경우 정확한 외국인 세대원 파악을 통한 과세제도의 실효성 제고 필요성이 제기됐다.
57,이에 따라 정부는 외국인 부동산 유관기관 협의회를 통해 법무부·복지부(건강보험공단) 등이 보유한 외국인 세대구성 관련 자료를 과세 당국과 공유하는 방안을 추진할 계획이다.
58,불법행위 근절을 위해 정부는 부동산거래신고법령 개정을 통해 외국인등록(국내거소신고) 대상자에 대해서는 부동산 거래신고 시 외국인등록 사실 증명서를 제출하도록 하고 부동산 매수 후 해외로 출국하는 외국인에 대한 조사 공백을 예방하기 위해 거래 신고 시 국내 위탁관리인을 지정·신고토록 할 계획이다.
