,sentence
0,앞서 정부는 변동금리 또는 준고정금리(일정기간 후 변동금리로 전환) 주택담보대출을 보유한 실수요자를 대상으로 대환용 안심전환대출을 신규 공급한 바 있다.
1,경제력이 낮을수록 코로나 유행을 거치며 정신적·사회적 건강 악화 위험이 커졌다는 의미로 풀이됩니다.
2,고정금리로 갈아타기 쉬워져금리부담 낮추는 방안도 내놔분할상환·원금상환유예 지원취약차주 범위 대폭 늘리기로◆ 부동산 규제 완화 ◆ 정부가 최근 시중금리 급등에 따른 가계 금리 부담을 낮추는 방안을 적극 실행에 옮기기로 했다.
3,변동금리 주택담보대출(주담대)을 받은 차주를 대상으로 고정금리 대출로 갈아탈 수 있는 정책금융상품 대상자를 확대하는 한편 실업이나 질병 외에 매출 급감 등의 사유로 정상적인 대출 상환에 어려움을 겪는 차주에 대한 지원책도 병행한다.
4,현재 주담대의 대부분을 차지하는 변동금리 대출은 금리 상승기에 대출자 이자 부담을 높여 차주의 상환 능력을 떨어뜨리고 불어난 이자 부담으로 인한 소비 부진까지 유발하고 있다.
5,그간 대출 대상자 제한 요건이 까다로운 까닭에 고정금리 대출 갈아타기라는 정책 취지와 상충된다는 지적이 나왔던 만큼 이번에 대출 가능 요건을 완화해준 것으로 풀이된다.
6,금융위는 채무 조정 프로그램 대상 차주 범위를 넓혀 매출액 급감 금리 상승 등으로 인한 상환 부담 급증으로 원리금 정상 상환이 곤란한 차주의 경우에도 신용도 다중채무 여부 상환 부담 수준 등을 종합적으로 검토해 채무 조정을 적용하겠다는 복안이다.
7,이를 위해 은행권과 협의를 거쳐 내년 초 은행권 프리워크아웃 모범규준 개정 추진에 나선다.
8,소비와 투자설비가 성장을 지탱했지만 수출보다 수입이 크게 늘면서 순수출이 역성장했다.
9,미국의 강도 높은 긴축과 주요국의 경기침체 우려 그리고 국내의 자금경색 등을 돌아보면 앞으로의 한국 경제성장도 가시밭길이 예고되고 있다.
10,소비증가폭이 전분기 대비 축소됐지만 설비투자를 비롯한 기업의 투자 상승폭이 확대된 데 기인했다.
11,청년의 사회활동 촉진과 지역경제 활성화에 기여하는 대표적인 청년 지원정책이다.
12,정부가 납부 능력이 있는 건강보험 피부양자를 지역가입자로 전환해 보험료를 부과하는 방안을 추진합니다.
