,sentence
0,인건비 오름세가 꺾이지 않았다는 통계도 나와 미 연방준비제도(Fed·연준)의 공격적 금리인상 기조에 힘을 싣는다.
1,변동성이 높은 에너지와 식료품을 제외한 근원 PCE 가격지수의 오름폭은 더 가팔라졌다.
2,가격 인상에도 불구하고 소비자들이 지갑을 계속 여는 것은 급여도 그만큼 올랐기 때문으로 보인다.
3,에너지 식량 등 생활에 필수적인 품목을 중심으로 물가 상승이 이어지고 있다.
4,미국 등 국제에너지기구(IEA) 회원국의 전략비축유 방출 세계 경기 침체와 석유 수요 둔화 우려 달러화 강세 등이 추가 상승을 억제한 것으로 보인다.
5,다음은 기재부 통계청 국세청 한국개발연구원(KDI) 한국조세재정연구원(KIPF) 주간 주요일정 및 보도계획이다.
6,기업물가지수는 기업 간에 거래하는 물품의 가격 동향을 나타내는 지수로 앞으로 소비자물가로 전가될 가능성이 크다.
7,매체는 호주 연방통계국이 이날 발표한 관련 통계를 인용해 이같이 전하며 주택 건설 비용과 가스 가격이 급등하면서 호주 준비은행(중앙은행 RBA)이 금리인상을 가속할 가능성이 크다고 지적했다.
8,뉴스기사에서 인플레이션(지속적인 물가 상승)을 우려하는 문장(텍스트)이 많아지면 실제 물가도 시차를 두고 오르는 흐름을 보인다는 것이다.
9,기사 소셜미디어 등과 같은 텍스트 데이터는 지정학적 리스크 이상기후 전염병 확산 등 국내외 경제뉴스를 빠르게 반영할 뿐 아니라 경제주체의 의사결정에 영향을 미치기 때문에 경제 분석에 유용한 정보를 제공하지만 계량화가 쉽지 않아 그간 경제 분석에 활용하는 데 어려움이 컸다는 게 보고서의 설명이다.
10,보고서는 “최근 텍스트 분석기법이 발전하면서 각국 중앙은행과 연구기관을 중심으로 뉴스기사에 반영된 경제 불확실성을 측정하는 등 경기 상황 판단과 전망에 텍스트 데이터를 활용하려는 시도가 늘고 있다면서 인공지능 언어모형을 활용해 뉴스기사에 반영된 인플레이션 어조를 측정했다고 설명했다.
11,분석 결과 인플레이션 어조지수는 소비자물가지수 생산자물가지수 등 주요 물가지표와 높은 상관 관계를 보였다.
12,김태완 한국은행 디지털혁신실 디지털신기술반 과장은 “이는 인플레이션 어조지수가 인플레이션 추세를 판단하는 데 활용이 될 수 있음을 시사한다며 “앞으로 한국은행은 인공지능 언어모형을 통해 텍스트 데이터를 다양한 경제분석에 활용하고 내부적으로도 문서 요약 분류 등 업무 생산성 제고에 활용할 계획이라고 말했다.
13,사진 제공:연합뉴스소비자물가지수에 한두 달 정도 선행하는 지표인 생산자물가지수가 하락한 지 한 달 만에 다시 상승세로 돌아섰습니다.
14,생산자물가는 생산자가 시장에 공급하는 상품과 서비스 등의 가격 변동을 나타내는 것으로 소비자물가지수의 선행지표로 활용된다.
15,물가지수 발표 후 파운드화의 미 달러 대비 환율은 소폭 하락하고 단기 국채금리는 상승했다.
16,오늘 발표된 물가지수는 취약한 경제 상황에서 기저에 깔린 물가 상승 압박이 강하다는 위험 신호라고 말했다.
17,&lt;에이피&gt;(AP) 통신은 헌트 신임 재무장관이 리즈 트러스 총리가 단행한 감세 정책 이후 재정 안정성 회복이란 큰 과제를 만났지만 이를 풀기란 쉽지 않아 보인다고 전했다.
18,co. kr(세종연합뉴스) 곽민서 박원희 기자 통계청이 내년부터 배달비 물가지수를 별도로 작성 공표하기로 했다.
19,배달 음식에 붙는 배달비가 외식 물가를 끌어올리는 가운데에도 정작 물가지수 품목에서는 배달비가 제외되며 현실을 제대로 반영하지 못한다는 지적이 있었다.
20,다만 자가주거비를 소비자물가지수에 반영하는 문제에 대해서는 사회·경제적 파급효과 등을 고려하여 검토하겠다고 통계청은 밝혔다.
21,자가주거비는 말 그대로 자가에서 거주하기 위해 들어가는 비용을 나타내는 지표로 자가주거비가 물가지수에 포함되면 부동산 가격 상승에 따른 가계 부담을 반영할 수 있게 된다.
22,이 때문에 일각에서는 현재 소비자물가지수 보조 지표로 작성되는 자가주거비를 주지표로 전환해야 한다는 주장이 제기됐다.
23,다만 이 경우 물가지수 가운데 주거비 가중치가 지나치게 확대된다는 점은 문제점으로 꼽힌다.
24,통계청은 이와 함께 가계부채 대책을 뒷받침하기 위한 부채 심층 분석도 진행하기로 했다.
25,인구·가구·주택통계등록부 주택소유통계 데이터베이스(DB) 등 통계청 자료와 개인 단위 대출 금액·건수 등 민간 신용회사 자료를 결합해 부채 특징을 분석하는 방식이다.
26,가구별 자산·금융 현황을 파악하는 데 활용되는 가계금융복지조사에서는 가상자산 항목을 신규 개발한다.
27,이후 내년부터는 은퇴 후 소득을 종합적으로 점검하기 위해 기초·장애인·국민·개인·주택연금 등으로 확장된 연금통계를 새롭게 작성한다.
28,한훈 통계청장은 다양해지는 통계 수요에 부응해 적극적으로 통계를 개선·개발하고 국가통계를 더욱 개방하겠다고 말했다.
29,그러나 국경절 연휴로 돼지고기 소비가 급증하면서 가격이 다시 폭등하자 중국 당국이 다시 비축 돈육 방출로 대응할 예정이다.
30,중국 당국이 돼지고기 가격 폭등에 민감한 이유는 곧바로 소비자물가를 자극해 인플레이션(물가 상승)으로 이어질 수 있기 때문이다.
31,국내 소비자들이 공공요금 인상과 유가 상승 영향 등으로 당분간 고물가 흐름이 꺾이지 않을 것으로 판단하는 셈이다.
32,제롬 파월 연준 의장로이터 연합뉴스 자료사진 심각한 인플레이션 상황이 재확인됨에 따라 미 중앙은행인 연방준비제도(Fed·연준)가 공격적인 금리인상 기조를 유지할 가능성이 더욱 커졌다.
33,다만 연속적인 금리인상과 글로벌 경기둔화의 여파로 채용을 줄이는 기업들이 늘어나고 있다는 점에서 앞으로 실업자가 계속 늘어날 가능성이 커보인다.
34,/연합뉴스정부가 물가 정책을 결정하고 각종 연금 지급액을 결정하는 기준이 되는 소비자물가지수의 시계열이 단절됐다는 분석이 나왔다.
35,문재인 정부에서 소득주도성장을 뒷받침하기 위해 가계동향조사 방식을 두 번이나 개편하면서 시계열 단절 문제가 불거졌는데 통계청이 이 문제를 해결하지 못했기 때문이다.
