,sentence
0,사진은 서울 중구 남산에서 바라본 서울 시내 아파트 등 주택 밀집 지역 모습.
1,이에 한국은행은 통화정책을 펼 때 기대인플레이션율을 주요 참고 지표로 삼고 있다.
2,이처럼 물가 상승세가 지속되고 있지만 집값 전망은 역대 최저치를 나타냈다.
3,이는 아파트 매매가격 하락과 매수심리 위축되는 상황이 이어지는 가운데 시장금리가 상승한 영향으로 해석된다.
4,미국 경제 전문지 포브스의 편집장인 스티브 포브스 통화정책 전문가 네이선 루이스 저널리스트 엘리자베스 에임스 등 저자들은 인플레이션을 화폐가치의 하락 그로 인한 가격 왜곡 현상이라고 설명한다.
5,인플레이션이 무서운 건 월급쟁이나 연금 생활자 등의 실질소득을 갉아먹는다는 데 있다.
6,여기에 사치품보다 생활필수품의 가격부터 밀어 올리는 경향이 있기 때문에 소득 불평등을 심화시키는 점도 문제다.
7,저자들은 사실상 인플레이션을 유발했던 정책 입안자들의 결정을 비판하는 데 그치지 않고 이 시기에 개개인이 어떻게 자산을 지켜야 할지 조언한다.
8,이 때문에 가치가 변하지 않고 유지되거나 오히려 오르는 상품의 투자에는 적기란다.
9,이 때문에 현금을 보유하고 있으면 가격이 낮아진 좋은 주식을 매수할 기회가 된다고 짚어낸다.
10,금은 적극적인 투자수단이라기보다 다른 자산의 가치 급락을 방어하는 헤지수단이다.
11,변화의 흐름을 읽어내는 사람이 자산 포트폴리오를 발 빠르게 바꾸고 돈을 벌 기회를 잡는다.
12,업종별 기업들 추이와 자산 가치 등락을 알려면 변화를 민감하게 읽어내야 한다.
13,사람들이 인터넷과 TV 휴대용 기기를 통해 실시간 정보를 얻을 수 있게 됐고 정부 정책을 감시하고 있다는 점이다.
14,자신이 이끄는 민주당이야말로 인플레이션과 싸우고 일자리를 창출할 준비가 가장 잘 돼 있다는 주장이다.
15,바이든 대통령은 전 대통령(도널드 트럼프)은 위스콘신 인디아나 오하이오 등에서 일련의 깨진 약속을 했다면서 우리(민주당)는 약속을 지켰다.
16,또한 내가 취임했을 때 경제가 엉망이었다면서 (지금은) 미국의 미래에 대해 내 인생 그 어느 때보다 낙관적이라는 평가도 내놨다.
17,또한 공화당은 부유한 미국인과 대기업에 대한 세금을 인하해 인플레이션을 높이고 적자를 가중하려고 한다면서 이 실패한 경제 비전은 국민들에게 숨 쉴 공간을 주거나 경제를 성장시키는 길이 아니다고 지적했다.
18,특히 현지 언론들은 바이든 대통령이 선거 전 방문한 지역이 뉴욕주라는 점에도 주목했다.
19,뉴욕주의 경우 최근 도널드 트럼프 전 대통령의 지지를 받는 리 젤딘 공화당 후보의 부상으로 민주당에게 있어 당소 예상과 달리 힘든 선거 국면이 펼쳐지고 있는 지역이다.
20,최근 여론조사에서 민주당 후보인 캐시 호컬 현 주지사와 젤딘 후보의 지지율은 한자릿수로 좁혀졌다.
21,한편 시라큐스 지역언론들은 이날 정치인들에 이어 마이크론의 산제이 메로트라 최고경영자(CEO)가 연설에 나섰을 때 바이든 대통령보다 더 큰 박수가 쏟아졌다고도 보도했다.
22,메로트라 CEO는 우리는 메모리 분야의 기술 리더라며 기술 및 제조 리더십을 바로 이곳 뉴욕주 클레이로 가져올 것이라고 말했다.
23,WEEKLY BIZ 경제학자처럼 생각하기							최근 인플레이션으로 전 세계가 몸살을 앓고 있다.
24,그래서 인플레이션은 급여 생활자의 실질 소득을 감소시키는데 급여 생활자는 대부분 중산층이다.
25,/AFP연합뉴스										인플레이션이 실질 소득을 감소시키는 경로가 하나 더 있다.
26,운이 좋아 물가 인상분만큼 급여가 오르더라도 세금 때문에 실질 소득이 감소하는 셈이다.
27,물가가 오르지 않았다면 부담하지 않았을 세금을 더 내야 하니 주머니가 얇아질 수밖에 없다.
28,소득이 실제로 증가하면서 이런 부담이 증가하면 모르겠으나 실질 소득이 그대로인데 세금과 각종 사회보험료 부담만 늘어나니 삶은 갈수록 팍팍해질 수밖에 없다.
29,국민의 실제 삶은 물가를 반영한 구매력에 좌우되는 반면 세금이나 사회보험료는 명목소득에 따라 부과되기 때문에 이런 일이 벌어진다.
30,이처럼 인플레이션은 세금 부담을 증가시켜 정부에 이익을 주고 일반 국민을 어렵게 한다.
31,WEEKLY BIZ Newsletter 구독하기 ☞ https://page.
32,/사진로이터 미국인들이 올해 사탕 없는 핼러윈을 맞이할 가능성이 높다는 보도가 나왔다.
33,매체는 사탕 가격 상승은 설탕 가격 상승과 관련 있다며 인건비 상승도 원인이라고 짚었다.
34,스티커 쇼크는 제품 가격표를 본 소비자들이 충격받을 정도로 물가가 올랐다는 것을 의미한다.
35,미국 연방준비제도(연준)는 인플레이션 억제를 위해 추가 금리 인상을 예고했다.
36,정부 우리 측 이해 최대한 반영되도록 계속 협의할 것재닛 옐런 미 재무장관이 미국 내 판매되는 한국산 전기차에 보조금 지급을 철폐하는 내용이 담긴 인플레이션 감축법(IRA)과 관련 한국을 비롯한 국가들의 우려를 알고 있지만 법대로 시행하겠다는 입장을 밝혔다.
37,우리는 법에 정해진 대로 시행해야 한다고 말했다고 &lt;블룸버그&gt; 통신이 보도했다.
