,sentence
0,다만 악화된 재무건전성 지표를 관리하기 위해 추가 자본확충 등에 적극 나선다는 방침이다.
1,이에 대해 농협생명은 채권 계정전환에 따른 회계인식의 문제일 뿐 고객의 보유계약과 회사 실질가치에는 아무런 영향이 없다고 강조했다.
2,그럼에도 재무건전성 평가기준 상 자본에서 차감됨에 따라 재무상태와 RBC 비율에 영향을 주고 있는 상황이다.
3,LAT는 보험사가 고객에게 돌려줄 보험금을 적정하게 적립했는지를 평가하는 제도다.
4,블룸버그통신에 따르면 옐런 장관은 이날 기자들과 만나 (전기차 보조금과 관련한) 한국과 유럽 측의 우려에 대해 많이 들었고 우리는 분명히 이를 고려할 것이라면서도 법이 그렇게 돼 있다.
5,이어 지금은 관련 규정 성문화 작업의 초기 단계라면서 나는 한국과 유럽 측의 우려를 듣고 규정 이행 과정에서 무엇이 실행 가능한 범위 안에 있는지 검토할 것이라고 확언한다고 덧붙였다.
6,블룸버그는 이에 대해 전기차 보조금 제한을 풀기 위해 로비 중인 한국 등 외국 자동차 업체들을 구제해줄 것이라는 기대에 찬물을 끼얹은 발언이라고 평가했다.
7,IRA에 따르면 올해 북미에서 최종 조립되는 전기차만 세액공제를 받을 수 있고 향후에는 미국 등에서 생산된 배터리 부품과 핵심 광물을 일정 비율 이상 사용해야 하는 등 추가 조건도 충족해야 한다.
8,미 재무부는 IRA를 뒷받침하고 구체적 내용을 규정하기 위한 지침 제정 작업을 진행 중이지만 법안에 따르면 재무부 지침의 자유 재량권이 크지 않다는 평가가 전문가들에게서 나온다고 블룸버그는 전했다.
9,이에 연간회원권 구매자 뿐만 아니라 지역사회에서도 비판의 목소리가 이어지고 있다.
10,특히 최근 레고랜드발 금융시장 경색 등으로 논란이 확산하자 레고랜드 테마파크로 파장이 번지고 있다.
11,국회예산정책처 공공기관 예산안 중점 분석현금 유입이나 수익성 개선 이어지지 않아 한국전력의 재정건전화 계획이 현금 유입이나 수익성 개선으로 이어지지 않는다는 지적이 나왔다.
12,한국채택국제회계기준에 따르면 재평가이익은 당기손익에는 반영되지 않고 자본의 증가(기타포괄손익)에만 영향을 끼친다.
13,국회예산정책처는 토지 재평가 이익은 토지를 매각하기 전까지는 현금유입으로 이어지지 않는 미실현 이익이라며 한전의 자본확충 계획은 유동성 확보를 수반한 재무개선 방안으로 이어지지 못한 측면이 있다고 지적했다.
14,영국 보리스 존슨 전 총리가 총리직에 재도전하지 않는다고 밝히면서 리시 수낙 전 재무장관이 유력한 차기 총리 후보로 거론되고 있다.
15,co. kr (런던연합뉴스) 최윤정 특파원 영국 보리스 존슨 전 총리가 불출마 선언을 함에 따라 차기 총리로 리시 수낵 전 재무장관이 유력해졌다.
16,그는 당이 통합되지 않으면 잘 통치할 수가 없다며 할 수 있는 일 많다고 보지만 지금은 적당한 때가 아닌 것 같다고 말했다.
17,이날 보수당 주요 인사들은 수낵 전 장관 지지를 선언하면서 경제위기 대응을 주된 이유로 내세웠다.
18,파티게이트 연속극을 또 볼 순 없다면서 핵심 이슈는 경제가 될 것이며 수낵 전 장관은 지난여름 선거에서 옳은 공약을 내놨고 이는 지금도 적용 가능하다고 본다고 말했다.
19,케미 배디너크 국제통상부 장관은 선데이 타임스 인터뷰에서 수낵 전 장관은 우리에게 필요한 진지하고 정직한 지도자라고 말했다.
20,이들은 존슨 전 총리가 파티게이트와 관련해 의회에서 거짓말을 했는지에 관한 조사가 진행 중인 점도 지적했다.
21,보수당 우파에서 영향력이 큰 인물인 스티브 베이커 북아일랜드 담당 장관은 존슨 전 총리는 보장된 재난이라고 평가하고 특히 파티게이트와 관련한 의회 조사에 관해 특히 우려를 표했다.
22,인도계 이민자 가정 출신으로 영국 내각 역사상 첫 비 백인 총리가 됩니다.
23,기자의원내각제 국가로 집권당 대표가 총리가 되는 영국에서 보수당 대표 후보등록 마감을 앞두고 경쟁자인 보리스 존슨 전 총리와 페니 모돈트 원내대표가 모두 불출마 선언을 했습니다.
24,이에 따라 단독 후보가 된 수낵 전 재무장관이 보수당 대표와 총리로 결정됐습니다.
25,리시 수낵 / 영국 총리 내정자 : 내가 사랑하는 정당을 위해 봉사할 수 있고 내가 그토록 빚진 나라에 보답할 수 있다는 것은 내 인생의 가장 큰 특권입니다.
26,전형적인 금수저 출신인 수낵 내정자는 단정한 머리 모양과 딱 맞는 고급 정장 스타일로 헝클어진 머리와 돌발 행동으로 유명한 존슨 전 총리와 비교됩니다.
27,수낵 내정자는 먼저 감세안으로 금융시장을 뒤흔든 트러스 총리가 남긴 후유증을 수습해야 합니다.
28,리시 수낵 / 영국 총리 내정자 : 의심할 여지 없이 우리는 심각한 경제적 도전에 직면해 있고 안정과 단결이 필요합니다.
29,co. kr (런던연합뉴스) 최윤정 특파원 영국의 리시 수낵 신임 총리가 취임 일성으로 금융시장에 큰 혼란을 야기했던 리즈 트러스 전임 총리의 잘못을 바로잡겠다고 말했다.
30,또 트러스 충격 대처를 위해 긴급히 투입됐던 제러미 헌트 재무장관을 비롯해 외무 국방 등 핵심 각료들을 유임해 안정을 꾀했다.
31,수낵 총리는 성장 추구는 숭고한 목표이지만 리즈 트러스 총리는 몇 가지 잘못을 했고 나는 이를 바로 잡으라고 총리로 뽑혔다며 즉시 일을 시작할 것이라고 말했다.
32,그는 경제안정과 신뢰를 정부 핵심 의제로 삼을 것이며 이는 앞으로 어려운 결정을 내려야 한다는 의미라고 말했다.
33,당시 선거에서 유권자들이 부여한 임무를 실행하겠다면서 무상의료체계인 국민보건서비스(NHS) 강화 교육 개선 치안 강화 국경통제 환경 보호 국방강화 균형 발전 브렉시트(Brexit·영국의 EU 탈퇴) 기회를 활용한 경제 발전을 들었다.
34,수낵 총리는 어깨가 무거운 자리에 어려운 상황이라고 말하면서도 나는 겁먹지 않았다고 말했다.
35,수낵 총리는 제러미 헌트 재무장관과 제임스 클리버리 외무장관 벤 월리스 국방장관 등을 유임하는 등 내각 인선을 시작했다.
36,헌트 장관은 트러스 전 총리 임기 막판에 투입돼 트러스 전 총리의 정책을 모두 뒤집어엎었다.
37,보수당 우파로 분류되는 브레이버먼 장관은 개인 이메일로 중요 문서를 보냈다가 물러났으며 이번 선거에서 예상과 달리 보리스 존슨 전 총리가 아니라 수낵 총리를 지지했다.
38,이번 선거 출마를 준비하다가 막판에 접은 페니 모돈트 원내대표도 자리를 지켰다.
39,존슨 전 총리 시절 부총리 겸 법무부 장관이던 도미닉 라브도 같은 자리를 맡았고 산업부 장관에는 그랜트 �蔗� 전 내무장관이 임명됐다.
40,그는 이날 회의와 연설에서 자신의 감세를 통한 성장 정책이 옳다고 거듭 강조하고 사과 한마디 없이 떠났다.
41,재판매 및 DB 금지 (런던연합뉴스) 최윤정 특파원 영국 보리스 존슨 전 총리가 총리직에 재도전하지 않는다고 밝혔다.
42,채권 시장이 충격·혼란 흡수할 수 있도록 개혁 추진인플레 너무 높다…경제 성과 유지하며 인플레 억제 최우선 옐런 미국 재무부 장관AP 연합뉴스 자료사진.
43,옐런 장관은 이날 증권산업금융시장협회(SIFMA) 연례총회에서 인플레이션 대응과 금융 시스템의 잠재적인 취약성을 모니터하는 것이 당면한 두 개의 우선 과제라면서 이같이 밝혔다.
44,그는 금융시장과 관련 현재까지 미국의 금융 시스템이 경제 불안정의 원인이 되지는 않았다면서 우리 시스템은 탄력성을 유지하고 있으며 불확실성 속에서도 계속 잘 작동하고 있다고 말했다.
45,이어 우리는 잠재적 위험을 경감하기 위해 더 할 수 있는 일이 있으며 이는 국채 시장에서 시작된다면서 재무부는 채권시장이 충격과 혼란을 증폭하기보다는 이를 흡수할 수 있도록 하기 위한 개혁을 추진하기 위해 금융 규제 기관과 협력하고 있다고 말했다.
46,그는 우리는 또 높은 시장 변동성이 비(非)은행 금융 중개 분야에서 취약성을 노출 시킬 수 있는 가능성에 주의를 기울이고 있다면서 규제기관들은 사모펀드의 레버리지를 더 잘 모니터하고 머니마켓펀드(MMF)와 개방형 채권펀드에서 선발 주자의 이점을 줄이기 위한 정책 개발을 위해 함께 협력하고 있다고 밝혔다.
47,이밖에 옐런 장관은 장기 경제 전망과 관련해 인플레이션 감축법 반도체 지원법 인프라 법 등을 거론하면서 앞으로 몇 달 내에 반도체나 청정에너지 같은 성장 산업으로 상당한 자본이 이동하는 것을 볼 것으로 예상한다면서 이는 장기적인 경제 성장을 촉진하는 것을 넘어서 향후 수년간 미국의 회복력을 강화하고 지역 사회를 활기차게 하는 신나는 투자라고 말했다.
48,왼쪽부터 헌트 재무 클레벌리 외무 윌리스 국방 가디언 등에 따르면 수낵 총리의 첫 번째 장관 인선에서 제러미 헌트 재무 제임스 클레벌리 외무 벤 월리스 국방 장관 등 리즈 트러스 내각의 핵심 장관이 대거 유임됐다.
49,헌트 장관은 수낵계지만 클레벌리와 월리스 장관은 보리스 존슨 전 총리 측근 인사로 분류된다.
50,존슨 측근으로 강경 우파 성향의 브레이버먼 장관은 이번 당대표 겸 총리 경선에서는 수낵을 지지했다.
51,가디언은 “온건파 의원들의 반발이 예상되는데도 굳이 브레이버먼을 불러들인 것은 이번 경선전에서 존슨이 아닌 수낵을 지지한 데 대한 보은(인사)이라고 분석했다.
52,모돈트 측근은 “경선 불출마를 늦게 했다는 이유로 자리를 못 받은 것이라고 했다.
53,내무장관을 제외한 재무·외무·국방·교통·산업 등 주요 장관직을 모두 남성이 차지했다는 비판도 나온다.
54,옐런 장관은 뜨거운 고용시장 덕분에 완전고용 상태라는 것이 분명하게 좋은 것이지만 성장이 느려지기를 원한다며 인플레이션을 잡기 위해 필요한 부분이라고 말했다.
55,그는 강력한 고용을 유지하면서도 인플레이션을 낮출 길이 보인다고 많이 말했다.
56,그리고 이번 (GDP) 데이터는 우리가 목격하기를 원하는것과 일치한다고 평가했다.
57,옐런 장관은 앞으로 경제가 더 느려질 것으로 예상하며 필요하다면 정부는 대응할 재정 여지가 있지만 통화정책에 반하는 일은 아닐 것이라고 밝혔다.
58,그는 인플레이션 문제를 악화하는 재정 정책을 사용하는 것에 대해 신중해야 한다고 말했다.
59,하지만 깊은 침체를 예상하지 않지만 그런 침체가 발생한다면 대응할 필요가 있고 그렇게 할 충분한 재정 여지가 있다고 생각한다고 옐런 장관은 덧붙였다.
60,또 옐런 장관은 재무부가 국채시장의 유동성 감소를 살펴보고 있다며 광범위한 시장 변동성에 따른 것이지 문제가 있다고 여기지 않는다고 밝혔다.
61,이어 재무부는 유동성을 늘릴 장기적 개혁조치를 연구중으로 연준이 은행에 대해 추가로 요구하는 유동성준비 비율을 조정하는 것이 가능한 전략 중 하나지만 이는 은행 규제기관들이 결정할 몫이라고 그는 설명했다.
62,현재 미 국채는 매력적인 수익률 덕분에 많은 해외 매수자들을 유치하고 있다고 옐런 장관은 덧붙였다.
63,삼성 출신 재무 전문가…경영 관리·지원 경험 두루 허병훈 신세계 백화점부문 기획전략본부장.
64,이후 호텔신라로 자리를 옮겨 경영지원실장 전무·호텔&amp;레저부문장 전무 등을 지냈다.
65,전략실 기획총괄 부사장보를 시작으로 지원총괄 부사장·관리총괄 부사장 등을 지냈다.
66,올 여름 이른바 코로나 방역을 두고 존슨 전 총리가 거짓말을 했다는 ‘파티 게이트’ 당시 선제적으로 사표를 던져 존슨 내각의 붕괴를 일으킨 사람이 수낙이기 때문이다.
67,실제로 존슨 총리는 리즈 트러스 총리가 사임한 직후 해외 휴가에서 급거 귀국하는 등 차기 총리 선거에 의욕을 보여왔다.
68,현지 언론들은 수낙이 총리에 취임한 뒤 주요 내각을 임명하고 경제 살리기에 올인할 것으로 전망한다.
69,BBC는 “수낙은 총리 취임 후 경제 문제로 극도로 힘든 시간을 겪게 될 것이라며 “그동안 우리(시민들)는 수낙으로부터 구체적인 (경제살리기) 계획을 들은바 없으며 재정 정책에 대한 명확한 (발표가) 요구될 것이라고 짚었다.
70,BBC는 “수낙에게는 야당인 노동당은 물론 여당인 보수당 일각에서도 제기되는 조기 총선 요구의 압력도 있다고 보도했다.
