,sentence
0,약사나 한약사가 아닌 사람이 명의를 빌려 운영하는 약국인데 적발되면 약사법 위반과 사기 혐의 등으로 처벌을 받습니다.
1,그런데 한 의약품 유통업체가 전국 곳곳에 이런 사무장 약국을 운영해온 혐의로 검찰에 송치됐습니다.
2,설비나 회계 관리 등 실질적인 약국 운영을 약사가 아닌 의약품 유통업체 H 사가 해왔다는 혐의입니다.
3,제주 A 약국 관계자/음성변조 : 그쪽에 도매해서 물건을 좀 갖다 쓰고 있어서.
4,현행 약사법은 약사나 한약사가 아니면 약국을 개설하지 못하게 돼 있습니다.
5,H 사는 제주 뿐 아니라 인천과 군산 등지에도 이런 약국을 개설했는데 직접 약사들과 계약을 맺고 근무지를 이동시키기도 했다는 게 경찰 판단입니다.
6,약을 조제했을 때 건강보험공단이 지급하는 요양급여도 부당 수령했다며 사기 혐의를 함께 적용했습니다.
7,이른바 사무장 약국에 대한 수사기관의 판단은 그동안 엇갈리기 일쑤였습니다.
8,이 때문에 특별사법경찰을 운용하거나 수사 전문성을 강화하는 법안이 발의됐지만 국회 문턱을 못 넘고 있습니다.
9,정춘숙/국회 보건복지위원장 : 면허대여 약국 문제는 건강보험 재정의 누수하고 아주 직접적인 연관이 있기 때문에 수사나 처벌에 있어서 보다 명료하고 엄격한 법들이 필요하다고 생각합니다.
10,이를 제도적으로 뒷받침하기 위해 재정준칙 법제화와 재정사업 성과관리 체계 개편 등을 추진 중이다.
11,추 부총리는 중장기 재정전망은 여전히 암울한 상황이라며 저출산·고령화 등 재정의 구조적 위험요인과 재정 만능주의·이기주의 등 재정병폐가 효과적인 재정운용을 저해하고 있다고 진단했다.
12,기금 고갈 우려가 있는 공적연금 개혁과 건강보험 장기요양보험 지출 효율화 등 당면한 사회보험 재정위험에 선제적으로 대응할 방침이다.
13,기후변화와 상시화된 재난 경제안보 리스크 등 미래위험 대응을 위한 재정지원체계를 정립하고 재정 전반에 걸친 책임성과 효율성을 강화하기 위해 국제적 기준에 부합하는 재정운용시스템을 구축할 예정이다.
14,이어 공적연금 개혁 건강보험과 장기요양보험 지출 효율화 등 당면한 사회보험 재정 위험에 선제적으로 대응하겠다고 밝혔다.
15,아울러 국민의 관점에서 재정 전반에 걸친 책임성과 효율성을 강화하기 위해 글로벌 스탠다드에 부합하는 재정 운용 시스템을 구축하고 기후 변화·경제안보 등 미래 위험 대응을 위한 재정지원 체계도 확립하겠다고 덧붙였다.
16,추 부총리는 저출산·고령화 등 재정의 구조적 위험요인과 재정 만능주의·이기주의 등 재정 병폐가 효과적인 재정 운용을 저해하고 있다며 이러한 위험요인에 한 세대 앞을 내다보고 대응하고자 한다고 강조했다.
17,〈사진연합뉴스〉 정부가 김장 물가 안정을 위해 주요 재료의 비축물량 방출과 다양한 할인 정책을 시행하기로 했습니다.
18,추 부총리는 관계기관 합동으로 김장재료 수급안정대책반을 운영해 품목별 수급점검 할인지원 등을 차질없이 이행하고 수급 불안 시 신속 대응하겠다고 강조헀습니다.
19,이날 간담회에는 기시다 총리 외에도 모테기 도시미쓰 자민당 간사장과 야마구치 나쓰오 공명당 대표 등이 참석했다.
20,기시다 총리는 이날 자신의 경제정책 슬로건인 ‘새로운 자본주의’의 기치 아래 △고물가 대응 △엔저 대응 △구조적 임금 인상 △성장을 위한 투자와 개혁 등을 중점 분야로 하겠다고 설명하면서 당장 급한 고물가와 세계 경제 하방 리스크를 극복하는 게 중요하다고 강조했다.
21,이와 함께 추경안을 신속하게 편성해 가능한 한 조기에 통과를 목표로 하겠다며 “각 시책을 국민의 수중에 확실히 전달해 생활을 지탱하는 것을 실감하도록 전력을 다하겠다고 말했다.
22,기시다 정부의 새로운 종합 경제대책은 집권 자민당 내 절차를 거쳐 이날 저녁 임시 국무회의에서 결정될 예정이다.
23,기시다 총리는 이날 밤 관저에서 기자회견을 열고 대책과 관련해 직접 설명한다.
24,과거 대학 설립 규제를 완화하는 정책을 입안해 부실대학 양산의 책임이 있다는 지적에는 퇴출 정책이 빨리 도입돼야 한다고 설명했다.
25,이 후보자는 이날 오전 서울 여의도 국회에서 열린 인사청문회에서 이같이 말했다.
26,그는 국민의힘 정경희 의원이 초중등과 고등교육 간 재정 불균형 문제를 지적하자 교육재정 개편의 필요성은 분명히 있는 것 같다며 이번에 크게 변화하지 않으면 안 되는 절박함도 있다고 강조했다.
27,이어 교육재정 개편에 대해 다양한 안이 제시되고 있다며 (고등교육 재정을) 초중등에서만 끌어온다고 생각할 것이 아니라 예산부처를 설득해서라도 고등교육의 시급한 투자가 제대로 되도록 노력하겠다고 밝혔다.
