,sentence
0,다음 중 아래의 &lt;보기&gt;에 해당하는 재화 시장의 특징으로 옳은 것은?
1,(해설) 이 재화 시장은 전체 수요를 차별화된 제품을 공급하는 두 기업이 양분하고 있는 과점시장이다.
2,따라서 각 업체가 공급하는 제품은 소비자들로부터 완전대체재로 인식되지는 않지만 신규 기업이나 현재 경쟁사의 위협은 상존하는 상태에 있다.
3,이때 기업들은 자사 제품에 대해 얼마간 가격결정력(시장지배력)을 가지며 생산량을 줄이고 가격을 생산단가보다 높게 책정함으로써 초과이윤을 얻을 수 있다.
4,한편 과점시장에서 제품은 완전경쟁시장에 비해 적게 생산되므로 사회적으로 효율적인 수준만큼 재화가 시장에 공급된다고 볼 수 없다.
5,co. kr(서울연합뉴스) 박대한 기자 사회적 거리두기 해제로 빠르게 회복 중인 민간소비 증가세가 고인플레이션과 금리 상승 이로 인한 소비심리 위축 등으로 향후 둔화할 것으로 전망됐다.
6,특히 글로벌 경기 둔화 및 금리 상승 속도가 빨라질 경우 민간소비 회복세에 하방 압력이 커질 것으로 분석됐다.
7,보고서는 최근 임금 상승 속도 둔화 등으로 실질구매력 증가세가 약화되고 있고 부동산 등 자산가격 하락으로 인한 역(逆) 자산효과가 발생 향후 소비 회복을 제약할 것으로 내다봤다.
8,형태별 소비 여건을 분석하면 향후 금리 상승 및 소비심리 부진은 선택적 소비의 성격이 강한 내구재 등 재화서비스에 가장 큰 영향을 미칠 것으로 예측됐다.
9,서비스소비 역시 그동안의 회복세를 이끌었던 펜트업 수요(보복·지연 수요)가 점차 해소되면서 회복 속도가 둔화할 것이란 설명이다.
10,반면 그동안 과거 추세 수준에 크게 못 미쳤던 해외소비는 최근 각국의 입국규제 완화 항공사의 국제선 증편 등으로 회복세가 빨라질 것으로 전망됐다.
11,보고서는 향후 민간소비는 펜트업 효과에 힘입어 해외소비가 크게 확대되겠지만 재화소비는 부진하고 서비스소비의 회복 흐름도 약화하면서 점차 둔화할 전망이라고 밝혔다.
12,co. kr보고서는 향후 글로벌 경기 둔화 금리 상승 속도 및 폭에 따라 민간소비 회복경로에 하방 압력이 더 커질 수 있을 것으로 우려했다.
13,기준금리 상승으로 가계의 이자수지 적자폭이 확대되면 민간소비 여력이 축소된다.
14,아울러 가구별 원리금상환부담(DSR) 분포를 감안할 때 금리가 일정 수준을 넘어서면 취약가구의 채무부담이 크게 늘어 소비여력 또한 급격히 위축될 수 있다.
15,보고서는 금리 상승이 경기 부진과 자산가격 급락 고용 사정 악화 등으로 이어질 경우 민간소비에 대한 영향은 더 커질 것이라고 밝혔다.
