,sentence
0,이날 원화가 약세를 보인 것은 유로화 파운드화 등 주요 통화 약세로 달러가 강세로 돌아선 영향이다.
1,전문가들은 최근 원/달러 환율이 글로벌 통화의 움직임과 연동되면서도 뚜렷한 방향성을 잡지 못하고 수급에 따라 움직이고 있다고 진단했다.
2,김 연구원은 내달 미국 연방준비제도(Fed·연준)의 연방공개시장위원회(FOMC) 정례회의 전까지는 외환시장에 경계감이 지속될 것이라고 덧붙였다.
3,단위억원 자료LX인터내셔널LX인터내셔널 관계자는 “해상 운임 하락 전환과 해운 물동량 감소에도 석탄 등 자원 시황과 환율 상승에 힘입어 트레이딩 이익이 증가했다며 “여기에 생산량과 수요처로 향하는 공급량을 확대하는 등 자원 고(高) 시황기 수익 극대화 노력을 통해 탄탄한 실적을 거둘 수 있었다고 설명했다.
4,현재 LX인터내셔널은 ‘미래 유망 에너지 분야 핵심 사업자’로 도약하고자 니켈 등 배터리(이차전지) 전략 광물과 신재생 발전을 전략사업으로 육성하고 있다.
5,니켈은 자산 확보를 통한 사업 기반을 구축하고자 인도네시아 내 복수의 니켈 광산을 대상으로 투자를 검토 중이다.
6,현재는 시장 정보·거래선 확보 등을 위해 니켈 트레이딩을 우선 진행하고 있으며 미국 인플레이션 감축법(IRA) 영향으로 국내 니켈 정련과 전구체 생산 비중 확대가 예상됨에 따라 이에 필요한 중간재 관련 사업 기회를 모색 중이다.
7,신재생 발전 분야에선 국내는 바이오매스 해외는 인도네시아 수력 발전 중심으로 자산 투자를 확대해 ESG(환경·사회·지배구조) 기여와 안정적 수익원 역할을 강화한다는 계획이다.
8,최근엔 국내에서 바이오매스 발전소를 운영하는 포승그린파워 인수 절차를 마무리하고 경영권을 확보 친환경 발전사업을 본격화했다.
9,또 친환경 첨단 소재 물류센터 개발·운영 등 신규사업·투자 안건을 꾸준히 발굴하고 있으며 적극적인 인수·합병(M&amp;A)도 검토하고 있다.
10,LX인터내셔널 관계자는 “고금리 지속 경기 불황에 따른 산업수요 위축 경제 블록화 등 앞으로 더욱 어려운 사업환경에 직면하게 될 것으로 예상한다며 “현금(Cash) 중심 경영을 강화하는 동시에 사업 전반에 대한 선제 리스크 관리를 통해 위기 대응 능력을 대폭 높일 것이라고 말했다.
11,com사진 영상 제보받습니다 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다.
12,중국 오프라인 매장 영업 정상화가 지연되고 인플루언서에 대한 정부 제재 강화로 온라인 매출도 타격을 받았다.
13,헤어케어 바디케어 등의 프리미엄 라인이 활약하며 매출이 늘었지만 높아진 원자재 가격에 환율 영향으로 원가 부담이 가중됐다.
14,이를 토대로 AI로 환율의 패턴과 글로벌 지표들을 학습해 미래의 환율을 산출한다.
15,예측 모형은 신한은행의 외환 전문 부서인 S&amp;T센터와 데이터사이언스 유닛이 협력해 개발했다.
16,신한은행은 딥러닝 기술을 도입해 시장 전망에 대한 예측 정확도를 높이고 AI 결과의 안정성을 강화했다고 설명했다.
17,AI 환율예측 모형으로 뽑아 낸 환율 전망은 신한은행의 기업고객에 제공하는 업체 제안서 및 마케팅 자료에 포함될 예정이다.
18,다음 달 중 신한 기업뱅킹에서 AI 외환시장 전망 서비스를 이용할 수 있다.
19,앞서 전날 위안화가 강세 전환하고 파운드화 유로화 등 기타 통화도 강세를 보이며 원달러 환율도 하락했다.
20,AI 환율예측모형은 신한은행의 자체 인력(FX 전문부서인 S&amp;T센터와 데이터사이언스Unit과의 협업)과 기술로 △외화가격 △글로벌 채권 금리 △글로벌 주식 시장지수 △원자재 가격 등 글로벌 지표들을 분석해 미래의 환율을 예측한다.
21,AI 환율예측 모형은 신한은행의 기업고객을 대상으로 업체 제안서 마케팅 자료에 환리스크 관리 솔루션부터 활용된다.
22,신한은행 관계자는 최근 물가 상승 한국은행의 기준금리 인상 등으로 외환시장 변동성이 확대되는 상황 속에서 은행권 최초로 자체 기술을 통해 AI 환율예측 모형을 개발했다며 앞으로도 AI를 고도화해 외환 트레이딩 및 대고객 서비스를 개발하고 디지털 신기술을 활용해 고객의 환리스크 관리에 최선을 다하겠다고 말했다.
23,일본 당국이 엔화 가치 추락에 제동을 걸긴 했지만 효과가 오래가진 못할 것이라는 전망이 나온다.
