,sentence
0,첫 솔로 싱글 ‘디 애스트로넛(The Astronaut)’을 발매한 그는 밴드 콜드플레이와의 합동 무대를 위해 아르헨티나 부에노스아이레스에 머물고 있다.
1,‘솔로 싱글 발매 기념’으로 진행된 행사지만 군 관련 이야기를 작심한 듯 털어놨다.
2,진은 이 주제를 소설 해리포터 시리즈에 등장하는 ‘이름을 불러서는 안 되는 사람’인 볼드모트에 빗대기도 했다.
3,진은 “‘다이너마이트’가 생각보다 너무 잘 돼서 코로나 시기에 고민하다가 팬들이 좀 더 좋아할 수 있도록 다른 노래를 내보자 해서 ‘버터’와 ‘퍼미션 투 댄스’를 내게 됐다며 “두 곡 역시 잘 돼서 그 시기에는 사실 (군대에) 안 가는 게 맞았던 것 같다고 했다.
4,그러면서 “‘퍼미션 투 댄스’가 마지막이었지만 콘서트는 하고 가야 하지 않겠느냐고 해서 콘서트를 진행하게 됐다며 “멤버들과 ‘군대에 가면 콘서트가 너무 그리울 것’이라고 이야기 했다고 덧붙였다.
5,BTS는 미국 로스앤젤레스 서울 미국 라스베이거스를 도는 ‘BTS 퍼미션 투 댄스 온 스테이지’ 콘서트를 개최했다.
6,그래서 이거 끝나고 ‘오케이 가자’고 해서 그래미가 끝나고 군대에 갈 준비를 하고 있었다고 했다.
7,솔로 위주로 전개한다고 밝힌 영상이었는데 단체 활동 잠정 중단에 초점이 맞춰지면서 큰 파장이 일었다.
8,진은 “저는 꼭 봄이나 여름 늦어도 가을에 군대에 갔으면 좋겠다고 멤버들과 이야기했다.
9,그런데 멤버들이 ‘이것까지 진행해주면 좋겠다 한국에서 우리가 함성 있는 제대로 된 공연을 하지 못했다’고 설득했다고 말했다.
10,진은 “추울 때 군대에 가면서 팬들에게 예의를 차릴지 공연하지 않고 좋아하는 더운 날씨에 갈지 진짜 고민을 많이 했다며 “팬들에게 예의는 지켜야겠다는 생각에 공연을 하고 (군에) 들어가는 방향으로 이야기했다고 말했다.
11,이와 관련해서는 “마지막이라고 이야기해서 팬들이 슬퍼하며 공연을 보는 것을 원치 않았다고 했다.
12,진은 논란이 됐던 대중예술인 대상 대체복무제 도입에 대해서도 심경을 밝혔다.
13,그는 “한국에서는 이 문제로 우리가 욕도 많이 먹었다며 “억울한 감이 없지 않아 있다고 했다.
14,그러면서 “우리는 ‘눈물의 공연’을 하고 싶지 않았을 뿐인데 여기저기서 ‘안 가는 게 맞다’ ‘무조건 가야 한다’며 과열돼 욕을 많이 먹었다고 했다.
15,이어 “댓글을 보면서 ‘아직도 (군대) 안 갔느냐’는 반응을 보면 속상했다면서도 “팬들이 눈물의 공연을 보지 않게 돼 다행이다.
16,디 애스트로넛은 팝 록 장르의 노래로 잔잔한 어쿠스틱 기타와 신시사이저 사운드가 신비로운 분위기를 자아내는 곡이다.
17,군 입대를 앞둔 그룹 방탄소년단 BTS 멤버 진이 팬 커뮤니티 위버스 라이브에 군 입대를 발표한 경위를 밝혔습니다.
18,BTS 멤버 진은 군 입대 논란과 관련해 한국에서 욕도 많이 먹었다면서 억울한 감이 없지 않아 있다고 덤덤하게 말하면서 그동안의 심경을 털어놓았습니다.
19,BTS 진은 군 입대 계획을 공연 전 미리 발표해 눈물의 공연을 하고 싶지 않았고 팬들에게 예의를 지켜야겠다는 생각이었다며 부산 공연 직후 입대를 발표하게 된 경위를 설명했습니다.
20,진은 아르헨티나 공연이 끝나고 귀국한 뒤 며칠 안에 군대에 관해 서류를 쓸 것 같다며 팬들이 눈물의 공연을 보지 않게 돼 다행이라고 밝혔습니다.
21,방탄소년단(BTS) 진이 신곡 The Astronaut 무대를 최초 공개했다.
22,The Astronaut는 진이 최근 발표한 첫 솔로 싱글로 콜드플레이가 공동 작업에 참여한 곡이다.
