,sentence
0,MLB 월드투어 코리아시리즈 대회가 취소된 가운데 MBC가 입장을 밝혔다.
1,팀 코리아(KBO 올스타팀) 팀 KBO(영남 현합팀)가 MLB 연합팀과 맞붙을 예정이었다.
2,그러나 MLB 사무국은 이벤트 프로모터와 계약 이행 이슈 등 현실적인 문제로 참가하지 못한다고 밝혔다.
3,그러면서 MBC는 대회 취소와 관련하여 메이저리그 및 대회 주최사에 강력한 유감을 표하는 바다라고 강력한 항의의 뜻을 밝혔다.
4,KBO 측 역시 이날 입장을 내고 “MLB의 참가 요청에 따라 경기를 준비해왔는데 매우 당혹스럽다며 국내 팬들에게 신뢰를 지키지 못한 점 경기를 준비한 선수들이 피해를 본 점 등에 관한 유감을 MLB에 전달할 예정이라고 말했다.
5,노조 “이재명에 비상식적 의혹 제기됐다면 보도 안 했을까 “실언 감춰주는 속칭 ‘마사지’해준 것 아니냐 한동훈 법무장관과 김의겸 더불어민주당 의원.
6,/조선DB										더불어민주당 김의겸 의원이 국회 국정감사장에서 직접 제기한 ‘대통령-법무장관 심야 술자리 의혹’을 놓고 여야가 연일 공방을 벌이는 가운데 유독 MBC가 이 문제를 뉴스로 거의 다루지 않은 것으로 나타났다.
7,‘민주당에 불리한 보도는 하지 않는 것이냐’는 지적이 MBC 내부에서 제기됐다.
8,김 의원이 의혹을 제기한 당일 KBS와 SBS는 저녁 메인뉴스에서 해당 내용을 일제히 보도했다.
9,KBS는 ‘법사위 ‘압수수색’ 격돌…청담동 술자리’ 설전도’라는 제목으로 SBS는 ‘민주 “보복수사 중단…한동훈 “뒷돈 건넸다면 중대범죄’라는 제목에서 해당 내용을 보도했다.
10,하지만 MBC 메인뉴스인 ‘뉴스데스크’에서는 관련 보도를 찾아볼 수 없었다.
11,그러면서 “입장을 바꿔서 여당 의원이 이재명 민주당 대표의 개인사에 대해 비상식적이고 근거 없는 음해성 주장을 했다면 MBC가 보도하지 않았을까 묻고 싶다고도 했다.
