,sentence
0,아직 전쟁의 향방이 오리무중인 상태로 발발 이후 반 년이 훌쩍 지나 전쟁 초기보다 세계의 관심도는 다소 떨어진 상태지만 개전부터 지금까지 전쟁의 진행 상황을 돌이켜보면 현대를 사는 우리가 주목해야 할 포인트가 몇 가지 있다.
1,그 가운데 하나가 저궤도 위성 통신망 스타링크starlink라는 데 이의를 제기할 사람은 별로 많지 않을 것이다.
2,전쟁으로 인지도 확 끌어올려전쟁이 발발하자마자 러시아의 공격으로 통신 인프라에 심각한 타격을 입은 우크라이나의 부총리 겸 디지털혁신부 장관 미하일로 페도로프가 트위터를 통해 스타링크를 운영하는 스페이스엑스(Space X)의 일론 머스크에게 스타링크를 지원해 달라고 요청했고 머스크가 이에 즉각 호응하고 나섰다는 사실은 이미 잘 알려져 있다.
3,머스크는 당시 스타링크의 서비스 지역이 아니었던 우크라이나를 서비스 지역으로 바로 설정하고 위성 신호를 잡을 수 있는 단말기도 지원했다.
4,우크라이나 시민들이 업로드하는 전쟁의 참상이 스타링크로 복구된 인터넷 망을 타고 세계 각지로 알려졌고 우크라이나 군도 스타링크를 러시아를 향한 반격에 유효하게 활용했다.
5,물론 우크라이나에 지원한 스타링크 단말기의 일부는 미국의 해외 원조를 담당하는 정부기관이 부담하긴 했지만 이 역시 머스크의 계산 속에 있었을 것이다.
6,나중에 단말기 비용의 상당 부분을 미국 뿐만 아니라 영국과 폴란드 등의 지원으로 충당했다는 보도도 나왔지만 그렇다고 머스크가 스타링크 인프라를 전장이 된 우크라이나에 제공한 사실 자체를 비난하는 목소리는 거의 나오지 않았다.
7,최근 머스크는 우크라이나에 대한 스타링크 운영 비용을 미국 정부와 협상하려는 의도를 시사하며 이른바 간을 보고 있는 상황이다.
8,전쟁 뿐만 아니라 정부의 의도적인 차단 예기치 못한 자연재해로 인한 통신 기반 상실 등을 이유로 인터넷 인프라가 침해를 받은 지역에 스타링크를 긴급 투입하는 대안은 이제 글로벌 환경에서 일반적인 선택지가 되었다.
9,사람들의 자유로운 연결을 막으려는 인터넷 시대의 열린 적들에게 머스크는 분명 껄끄러운 존재임에 틀림없다.
10,지금까지 스타링크에 한해서 머스크는 일종의 인터넷 전도사 같은 이미지를 구축하는데 성공한 것은 맞는다.
11,스타링크는 지구 저궤도에 소형 통신위성을 촘촘히 배치해 사각지역 없이 통신 서비스를 제공하는 서비스다.
12,저궤도에서 사출 대기중인 스타링크 위성들(사진:스페이스엑스 홈페이지)저궤도상의 각 스타링크 위성은 주변의 가까운 위성들과 광학 신호를 통해 연결되며 실시간으로 신호가 가장 강하게 유지되고 속도가 빠른 경로를 찾아 데이터를 전송하게 된다.
13,최초 연결된 위성이 접속 범위에서 벗어나도 그 뒤를 따르는 다른 위성을 이용해 끊기지 않는 통신이 가능하다.
14,다만 상대적으로 낮은 궤도에 위성을 띄우면 위성 하나하나가 담당하는 지상의 면적이 극단적으로 좁아지기 때문에 이를 보충하기 위해 엄청나게 많은 위성을 띄워야 한다.
15,팰콘 로켓은 지구 저궤도에 화물(payload)을 뿌리고 다시 귀환하기 때문에 스타링크의 소형 위성을 여러 번 대량으로 살포하는데 적임자다.
16,(사진:스페이스엑스 트위터)따라서 현재 시점에서 스타링크 사업은 머스크의 스페이스엑스가 우주 탐사비용의 절감을 목표로 개발해 온 재활용이 가능한 팰콘 로켓만이 할 수 있는 그야말로 독점 사업이라고 해도 과언이 아니다.
17,상품을 고르는 데 가격과 성능 그리고 그 둘의 합리적 조합인 가성비를 결코 무시할 수 없다는 건 불변의 사실이지만 일단 여기까지 읽은 독자 여러분은 스타링크를 어떻게 생각하시는지?
18,현재 스타링크가 상용 서비스를 제공하고 있는 지역은 미국 캐나다(북극권 제외) 유럽 일부 국가와 호주(북서부 제외) 뉴질랜드와 남미 일부 국가다.
19,일본의 경우 가장 큰 혼슈(本州)에서 도쿄를 기준으로 북쪽 즉 동일본 지역의 대부분이 서비스 권역이고 홋카이도(北海道)도 혼슈와 가까운 남단(하코다테 일대)은 서비스가 가능하다.
20,스타링크 서비스가 이미 시작된 지역에 사는 이용자들이 유튜브나 SNS에 스타링크 사용기를 올려놓고 있는데 관심이 있던 독자라면 한 번쯤은 봤을 수도 있겠다.
21,기본적으로 작은 접시형(또는 장방형) 안테나를 하늘이 보이는 곳에 설치하고 안테나 케이블을 공유기(라우터)에 연결한다.
22,공유기에 전원을 공급하면 안테나가 작동을 시작해 상공을 지나는 위성을 찾는다.
23,위성과 연결되면 공유기를 통해 와이파이 전파가 뿌려지고 이걸로 인터넷 연결이 가능하다.
